well,S_darcy,T_darcy_m2s,S_lagging,T_lagging_m2s,tau_q_lagging_s,tau_s_lagging_s,tau_q_lagging_h,tau_s_lagging_h
MW-13,0.0008370666752321,8.245066148198296e-05,0.0008742923489341,3.51123788961532e-05,330.9945713280311,1335.563586807421,0.09194293648000863,0.3709898852242836
MW-12,0.0001651111382389,2.526630598611361e-05,0.0002221185797629,2.103515541949877e-05,744.7424644240206,1246.607292753352,0.20687290678445017,0.3462798035425978
MW-10,0.0027575586336125,3.039302852907176e-05,0.0035903133867812,1.223869377109961e-05,235.0692323331452,1040.862249504757,0.06529700898142922,0.2891284026402103
MW-08,0.0002184716194908,2.200879458983066e-05,0.0003208130400091,1.959308303916298e-05,878.4725873559078,1429.878012729459,0.24402016315441882,0.39718833686929417
MW-11,0.0002025603393739,1.819119249440292e-05,0.0002151691966907,1.770005369352165e-05,982.0304801347924,1022.445807415356,0.27278624448188676,0.2840127242820433
MW-05,0.0024876926791431,8.030749823482357e-05,0.0029389732938816,4.155667695892961e-05,459.0691613006662,1283.077146827861,0.12751921147240727,0.35641031856329475
MW-06,0.0022671958786624,6.726724081912121e-05,0.0025810465535476,4.642246365376861e-05,582.8233052711944,1138.662380079141,0.16189536257533177,0.31629510557753915
MW-07,0.0095354760367995,3.560800866960986e-05,0.0090346672811388,3.067735512750697e-05,887.9004126597315,1118.357617481449,0.24663900351659207,0.31065489374484695
MW-03,0.0023260375385873,7.27364616635325e-05,0.0025448350274769,4.072568778870733e-05,462.5621206898106,1128.494026309998,0.12848947796939184,0.3134705628638883
MW-04,0.0024410689064844,7.487696477018114e-05,0.0025698799133907,3.413870430101295e-05,275.0943198570221,1059.337857266175,0.07641508884917281,0.2942605159072708
MW-02,0.0012752442322947,6.930860796683126e-05,0.0013767656060996,3.905574957938114e-05,478.6199404036386,1117.168647512285,0.13294998344545517,0.310324624308968
MW-01,0.0012337318305821,5.642885001682139e-05,0.001295648847483,4.738342339267168e-05,796.3678708405918,1143.286954437682,0.22121329745571994,0.31757970956602277
