case,pathway,threshold_quantile,threshold_m,observed_exceedance_count,deterministic_false_safe_count,tu_aware_false_safe_count,deterministic_missed_exceedance_fraction,tu_aware_missed_exceedance_fraction
Massachusetts,Theis confined,0.7,0.712489840516376,126,9,0,0.07142857142857142,0.0
Massachusetts,Theis confined,0.75,0.9553877927152992,105,4,3,0.0380952380952381,0.02857142857142857
Massachusetts,Theis confined,0.8,1.1798549025837337,84,5,0,0.05952380952380952,0.0
Massachusetts,Theis confined,0.8500000000000001,1.440888578648037,63,5,0,0.07936507936507936,0.0
Massachusetts,Theis confined,0.9000000000000001,1.6562435505849984,42,3,0,0.07142857142857142,0.0
Massachusetts,Theis confined,0.9500000000000002,2.027451525108318,21,6,0,0.2857142857142857,0.0
Massachusetts,Hantush-Jacob leaky,0.7,0.712489840516376,126,9,0,0.07142857142857142,0.0
Massachusetts,Hantush-Jacob leaky,0.75,0.9553877927152992,105,4,3,0.0380952380952381,0.02857142857142857
Massachusetts,Hantush-Jacob leaky,0.8,1.1798549025837337,84,3,0,0.03571428571428571,0.0
Massachusetts,Hantush-Jacob leaky,0.8500000000000001,1.440888578648037,63,2,0,0.031746031746031744,0.0
Massachusetts,Hantush-Jacob leaky,0.9000000000000001,1.6562435505849984,42,3,0,0.07142857142857142,0.0
Massachusetts,Hantush-Jacob leaky,0.9500000000000002,2.027451525108318,21,8,0,0.38095238095238093,0.0
Massachusetts,Lagging Darcy no-leakage,0.7,0.712489840516376,126,2,0,0.015873015873015872,0.0
Massachusetts,Lagging Darcy no-leakage,0.75,0.9553877927152992,105,5,0,0.047619047619047616,0.0
Massachusetts,Lagging Darcy no-leakage,0.8,1.1798549025837337,84,4,0,0.047619047619047616,0.0
Massachusetts,Lagging Darcy no-leakage,0.8500000000000001,1.440888578648037,63,7,1,0.1111111111111111,0.015873015873015872
Massachusetts,Lagging Darcy no-leakage,0.9000000000000001,1.6562435505849984,42,6,1,0.14285714285714285,0.023809523809523808
Massachusetts,Lagging Darcy no-leakage,0.9500000000000002,2.027451525108318,21,5,0,0.23809523809523808,0.0
Massachusetts,Lagging Darcy with leakage,0.7,0.712489840516376,126,1,0,0.007936507936507936,0.0
Massachusetts,Lagging Darcy with leakage,0.75,0.9553877927152992,105,1,0,0.009523809523809525,0.0
Massachusetts,Lagging Darcy with leakage,0.8,1.1798549025837337,84,2,0,0.023809523809523808,0.0
Massachusetts,Lagging Darcy with leakage,0.8500000000000001,1.440888578648037,63,1,0,0.015873015873015872,0.0
Massachusetts,Lagging Darcy with leakage,0.9000000000000001,1.6562435505849984,42,4,0,0.09523809523809523,0.0
Massachusetts,Lagging Darcy with leakage,0.9500000000000002,2.027451525108318,21,8,0,0.38095238095238093,0.0
Lovelock Valley,Theis confined,0.7,0.3402566829599998,156,7,0,0.04487179487179487,0.0
Lovelock Valley,Theis confined,0.75,0.4744748448,130,1,0,0.007692307692307693,0.0
Lovelock Valley,Theis confined,0.8,0.7017013550400005,104,1,0,0.009615384615384616,0.0
Lovelock Valley,Theis confined,0.8500000000000001,0.8560206806400001,78,6,0,0.07692307692307693,0.0
Lovelock Valley,Theis confined,0.9000000000000001,1.0012127397600004,52,5,0,0.09615384615384616,0.0
Lovelock Valley,Theis confined,0.9500000000000002,1.1570937386400006,26,2,0,0.07692307692307693,0.0
Lovelock Valley,Hantush-Jacob leaky,0.7,0.3402566829599998,156,13,0,0.08333333333333333,0.0
Lovelock Valley,Hantush-Jacob leaky,0.75,0.4744748448,130,4,0,0.03076923076923077,0.0
Lovelock Valley,Hantush-Jacob leaky,0.8,0.7017013550400005,104,1,0,0.009615384615384616,0.0
Lovelock Valley,Hantush-Jacob leaky,0.8500000000000001,0.8560206806400001,78,4,0,0.05128205128205128,0.0
Lovelock Valley,Hantush-Jacob leaky,0.9000000000000001,1.0012127397600004,52,0,0,0.0,0.0
Lovelock Valley,Hantush-Jacob leaky,0.9500000000000002,1.1570937386400006,26,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.7,0.3402566829599998,156,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.75,0.4744748448,130,1,0,0.007692307692307693,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.8,0.7017013550400005,104,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.8500000000000001,0.8560206806400001,78,2,0,0.02564102564102564,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.9000000000000001,1.0012127397600004,52,1,0,0.019230769230769232,0.0
Lovelock Valley,Lagging Darcy no-leakage,0.9500000000000002,1.1570937386400006,26,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy with leakage,0.7,0.3402566829599998,156,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy with leakage,0.75,0.4744748448,130,1,0,0.007692307692307693,0.0
Lovelock Valley,Lagging Darcy with leakage,0.8,0.7017013550400005,104,0,0,0.0,0.0
Lovelock Valley,Lagging Darcy with leakage,0.8500000000000001,0.8560206806400001,78,2,0,0.02564102564102564,0.0
Lovelock Valley,Lagging Darcy with leakage,0.9000000000000001,1.0012127397600004,52,1,0,0.019230769230769232,0.0
Lovelock Valley,Lagging Darcy with leakage,0.9500000000000002,1.1570937386400006,26,0,0,0.0,0.0
