well,pathway,n_points,n_valid_points,rmse_m,mae_m,sd_eta,mean_eta,aic,bic,boundary_hit_flag,validity_note,S,T_m2s,B_m,tau_q_s,tau_s_s,fit_nfev,fit_data_score,bic_theis,bic_lagging,delta_bic_minus_theis,delta_bic_minus_lagging
MW-01,Theis confined,35,35,0.011391697528104395,0.00837256502124002,0.07758360706343155,0.001051399895612533,-309.24093331439224,-306.1302371914134,False,infinite line source confined fit,0.0012298981086903413,5.5860707652879265e-05,,,,,,-306.1302371914134,-289.298702570956,0.0,-16.831534620457433
MW-01,Hantush-Jacob leaky,35,35,0.011391697525705019,0.008372565027576986,0.07758360709611736,0.0010513996735922809,-307.24093332913594,-302.5748891446677,True,conventional Hantush-Jacob leaky fit,0.0012298981080514,5.586070765659925e-05,999999.9549679868,,,10.0,,-306.1302371914134,-289.298702570956,3.555348046745735,-13.276186573711698
MW-01,Lagging Darcy no-leakage,35,35,0.013088761018575958,0.008208630351892185,0.05688840407786679,-0.0012444571212115317,-295.5200948169136,-289.298702570956,False,finite radius lagging Darcy limit without leakage,0.001295648847483,4.738342339267168e-05,,796.3678708405918,1143.286954437682,,,-306.1302371914134,-289.298702570956,16.831534620457433,0.0
MW-01,Lagging Darcy with leakage,35,35,0.013175633311392293,0.008086170788905183,0.05483527640517701,2.1365635455478886e-05,-293.05702815738783,-285.28028784994075,True,formal Lin and Yeh lagging leaky finite radius fit,0.0012919348574318887,4.7300327406449504e-05,999997.9935001928,462.8559358718511,764.9078381338733,12.0,0.1022348722838568,-306.1302371914134,-289.298702570956,20.849949341472666,4.018414721015233
MW-02,Theis confined,32,32,0.016022447393166758,0.012109982890370227,0.15689134782242706,0.012240087427310335,-260.56093298567714,-257.62946118007767,False,infinite line source confined fit,0.0012739874555567805,6.265228934464142e-05,,,,,,-257.62946118007767,-330.99357465134887,0.0,73.3641134712712
MW-02,Hantush-Jacob leaky,32,32,0.016022237379021233,0.012109830521916266,0.15689129398669024,0.012240756726974587,-258.56177187084074,-254.16456416244156,True,conventional Hantush-Jacob leaky fit,0.0012739877985683,6.265201084224587e-05,999842.9186481608,,,6.0,,-257.62946118007767,-330.99357465134887,3.4648970176361047,76.8290104889073
MW-02,Lagging Darcy no-leakage,32,32,0.00456935556678365,0.0030895735239428335,0.04692512303496405,0.0011121712852375139,-336.85651826254775,-330.99357465134887,False,finite radius lagging Darcy limit without leakage,0.0013767656060996,3.905574957938114e-05,,478.6199404036386,1117.168647512285,,,-257.62946118007767,-330.99357465134887,-73.3641134712712,0.0
MW-02,Lagging Darcy with leakage,32,32,0.004227108170142719,0.002630828517500946,0.029787119728540222,9.246033105456803e-05,-339.83917871603273,-332.5104992020341,True,formal Lin and Yeh lagging leaky finite radius fit,0.001349421163436444,4.0367732903066065e-05,999843.7381366739,215.98803251171253,668.2528722051445,6.0,0.02750572111860429,-257.62946118007767,-330.99357465134887,-74.88103802195644,-1.5169245506852462
MW-03,Theis confined,31,31,0.016912702309299938,0.013170842064257388,0.16861199570484922,0.013452635240447776,-248.94080005328013,-246.07282564430983,False,infinite line source confined fit,0.0023348819409484637,6.623275040910393e-05,,,,,,-246.07282564430983,-299.3837601035505,0.0,53.310934459240684
MW-03,Hantush-Jacob leaky,31,31,0.016913153771433917,0.01317117962288671,0.1686121184607466,0.01345114814475611,-246.93914506768323,-242.6371834542278,True,conventional Hantush-Jacob leaky fit,0.002334879982809,6.623336903030995e-05,999789.71692629,,,8.0,,-246.07282564430983,-299.3837601035505,3.435642190082035,56.74657664932272
