excluded_well,pathway,pathway_short,distance_m,rmse_m,sd_eta,pred_S,pred_T_m2s,pred_B_m,pred_tau_q_s,pred_tau_s_s,preferred
MW-01,Theis confined,Theis,28.53505435743645,0.055254243720327355,0.14410283066721072,0.0018676813632001541,6.76157557363184e-05,,,,False
MW-01,Hantush-Jacob leaky,Hantush leaky,28.53505435743645,0.04626052650659326,0.08079038257405378,0.001660267817717363,6.988314100388383e-05,999999.9999999995,,,False
MW-01,Lagging Darcy no-leakage,"Lagging
without leakage",28.53505435743645,0.04217372833773157,0.19710533875620398,0.0018697701643844453,3.951083198129845e-05,,436.68061971545234,1157.8848804008796,False
MW-01,Lagging Darcy with leakage,Lagging leaky,28.53505435743645,0.031239120155622486,0.2011611506625223,0.0016825129487346875,3.684103759391797e-05,999999.9999999995,184.05802421626996,789.8714154464643,True
MW-02,Theis confined,Theis,26.68220604044817,0.040768533625565276,0.18436928838569172,0.001722342264721703,6.196947597588231e-05,,,,False
MW-02,Hantush-Jacob leaky,Hantush leaky,26.68220604044817,0.03260474786659319,0.16240297956463362,0.0015668755674862807,6.266864245773982e-05,728057.487695097,,,False
MW-02,Lagging Darcy no-leakage,"Lagging
without leakage",26.68220604044817,0.03245445942709822,0.11650486512211954,0.0017582970375583577,3.912557003749537e-05,,494.6090302174972,1164.040574341451,False
MW-02,Lagging Darcy with leakage,Lagging leaky,26.68220604044817,0.021194287383264253,0.110715103885303,0.0015986830438491548,3.540399992251592e-05,687965.0187857617,221.2324769564645,811.1695211149837,True
MW-03,Theis confined,Theis,20.09827833430204,0.08883944715869271,0.23897645093753722,0.0012377055838193056,4.8471905558871884e-05,,,,True
MW-03,Hantush-Jacob leaky,Hantush leaky,20.09827833430204,0.09719509349247477,0.22349914040934732,0.0012254898268275458,4.512095359867783e-05,123143.38339569411,,,False
MW-03,Lagging Darcy no-leakage,"Lagging
without leakage",20.09827833430204,0.11038068819598824,0.17633340604765163,0.0013861134216051074,3.2023620183838585e-05,,527.132551171228,1166.3204194309,False
MW-03,Lagging Darcy with leakage,Lagging leaky,20.09827833430204,0.14023286177478467,0.12441079027377581,0.0012881099036989882,2.6425724390606942e-05,110857.11137540868,239.85586735123175,806.4184333092779,False
MW-04,Theis confined,Theis,20.03325282529062,0.08688300354162024,0.3358202138901925,0.0012303500152723906,4.844009138952986e-05,,,,True
MW-04,Hantush-Jacob leaky,Hantush leaky,20.03325282529062,0.09437991784991932,0.3296539878290149,0.0012193023444805747,4.5050139181190516e-05,120735.36460997953,,,False
MW-04,Lagging Darcy no-leakage,"Lagging
without leakage",20.03325282529062,0.10253621726154774,0.24425087896842038,0.001382563144731055,3.252869935299023e-05,,555.8643759119087,1173.8448401648711,False
MW-04,Lagging Darcy with leakage,Lagging leaky,20.03325282529062,0.12911403029448326,0.17738035074285763,0.0012854157461562109,2.685354874352666e-05,108628.98086771191,273.1478073280637,809.9745191433999,False
MW-05,Theis confined,Theis,17.354672008507535,0.14581083319526988,0.22565290581508438,0.0010886743581850927,4.233017340614778e-05,,,,True
MW-05,Hantush-Jacob leaky,Hantush leaky,17.354672008507535,0.15502092819427304,0.21088547159884527,0.0011222134445658227,3.780399370674936e-05,49911.280191373524,,,False
MW-05,Lagging Darcy no-leakage,"Lagging
without leakage",17.354672008507535,0.16660520901812037,0.1527664903055801,0.0012680847184175176,2.897297363535521e-05,,544.0026835735496,1155.8368428719396,False
MW-05,Lagging Darcy with leakage,Lagging leaky,17.354672008507535,0.20712906768465184,0.08195054235958352,0.001188317398905547,2.2899789789644843e-05,43785.22089243196,241.75829867413114,779.4891465503301,False
MW-06,Theis confined,Theis,17.042475827018023,0.14034217085004183,0.18633316340503742,0.0010812329872526506,4.2269278257014684e-05,,,,True
MW-06,Hantush-Jacob leaky,Hantush leaky,17.042475827018023,0.150961001493696,0.1454494464362306,0.0011200951129646014,3.7553285582918815e-05,44522.99490320341,,,False
MW-06,Lagging Darcy no-leakage,"Lagging
without leakage",17.042475827018023,0.1673595852736871,0.13221563141573714,0.0012702278083582428,2.8327798783081853e-05,,534.4355205199914,1168.8827825320498,False
MW-06,Lagging Darcy with leakage,Lagging leaky,17.042475827018023,0.21313624495571815,0.06066925045374761,0.0011919992992857418,2.219761461282475e-05,38928.70989407882,252.52459372351157,817.3919679738532,False
MW-07,Theis confined,Theis,17.497459583829144,0.34074532086156706,0.7213881993973053,0.0009738709173114592,4.6034683459211664e-05,,,,True
MW-07,Hantush-Jacob leaky,Hantush leaky,17.497459583829144,0.34751361725391067,0.7081181022326509,0.001025746949570957,4.251900657394577e-05,143462.07072341337,,,False
MW-07,Lagging Darcy no-leakage,"Lagging
without leakage",17.497459583829144,0.39449169914867105,0.6622878423077827,0.0011500500870599692,2.9951345401522184e-05,,511.3962231553986,1170.1786848178663,False
MW-07,Lagging Darcy with leakage,Lagging leaky,17.497459583829144,0.4249265301038759,0.6406399970974057,0.0011386654929985678,2.5868380682722782e-05,131611.9601868344,232.93957973030186,769.2335741684944,False
MW-08,Theis confined,Theis,5.843416890268858,0.628790784771836,0.38582864325277155,0.0016147292554074709,1.5205838666599613e-05,,,,False
MW-08,Hantush-Jacob leaky,Hantush leaky,5.843416890268858,0.49807144815037724,0.4400320719733032,0.001536410809150679,1.2238066375916101e-05,707.4822687947515,,,True
MW-08,Lagging Darcy no-leakage,"Lagging
without leakage",5.843416890268858,0.5934161637830966,0.4124016126046901,0.001993753419432234,1.1434532771663537e-05,,498.85152045221406,979.9630420826421,False
MW-08,Lagging Darcy with leakage,Lagging leaky,5.843416890268858,0.6223739061418169,0.5594465405861195,0.0018383038975085776,5.82310213375621e-06,461.4261875104879,141.58862434304547,700.7269210331241,False
MW-10,Theis confined,Theis,9.271058098308242,0.4978070155294481,0.6918418686626063,0.00047005727451908305,2.7974488892805813e-05,,,,False
MW-10,Hantush-Jacob leaky,Hantush leaky,9.271058098308242,0.6465313185247085,0.5836741051133608,0.0005967900354683135,1.978437024603726e-05,406.777511833632,,,False
MW-10,Lagging Darcy no-leakage,"Lagging
without leakage",9.271058098308242,0.49021177264855625,0.6429563535564365,0.0006799252254877501,2.3267720213924167e-05,,800.7651710747787,1223.014366683003,True
MW-10,Lagging Darcy with leakage,Lagging leaky,9.271058098308242,0.8606828999729613,0.5575350662772484,0.000660799964948484,1.4050683999605397e-05,304.28345265642287,363.8236473401156,784.3563626020916,False
MW-11,Theis confined,Theis,12.357706052704296,0.9617596633246122,0.2699549054780899,0.0010976061721893907,3.7591626021859514e-05,,,,False
