pathway,phase,median_sd_eta_by_well,pooled_sd_eta
Theis confined,early,0.2221702795192794,0.25362415094661345
Theis confined,late,0.03328657179080651,0.10456357982430235
Theis confined,middle,0.057242327816259854,0.066681059483489
Hantush-Jacob leaky,early,0.22217105986879748,0.25120483804258215
Hantush-Jacob leaky,late,0.028121763835475426,0.08881304056730707
Hantush-Jacob leaky,middle,0.057242897586415944,0.0638936127653689
Lagging Darcy no-leakage,early,0.07140659658843362,0.08216296394715507
Lagging Darcy no-leakage,late,0.037104692749155115,0.055258066790506086
Lagging Darcy no-leakage,middle,0.0266356388030771,0.03478940166799393
Lagging Darcy with leakage,early,0.03748777858421308,0.03865483881768987
Lagging Darcy with leakage,late,0.025373463605303258,0.03507431376441898
Lagging Darcy with leakage,middle,0.024141748684346508,0.02846480177754549
