scenario_id,scenario_class,fixed_130m_truth_T_ref_m2_s,fixed_130m_truth_S_ref,fixed_130m_support_definition,fixed_130m_support_target_spread,archive_note
mega_homogeneous_confined_00000,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00001,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00002,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00003,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00004,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00005,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00006,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00007,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00008,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00009,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00010,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00011,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00012,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
