well,distance_m,azimuth_deg,n_points,early_observed_semilog_slope,early_darcy_semilog_slope,early_lagging_semilog_slope,middle_observed_semilog_slope,middle_darcy_semilog_slope,middle_lagging_semilog_slope,late_observed_semilog_slope,late_darcy_semilog_slope,late_lagging_semilog_slope,late_middle_observed_slope_ratio,late_flattening_flag,S_leaky,T_leaky_m2s,B_leakage_m,r_over_B,active_leakage_flag,S_constant_head,T_constant_head_m2s,image_distance_m,image_distance_over_r,active_constant_head_flag,rmse_darcy_m,rmse_lagging_m,rmse_leaky_m,rmse_constant_head_m,sd_eta_leaky,sd_eta_constant_head,aic_leaky,bic_leaky,aic_constant_head,bic_constant_head,bic_darcy,bic_lagging,delta_bic_leaky_minus_darcy,delta_bic_leaky_minus_lagging,delta_bic_constant_head_minus_darcy,delta_bic_constant_head_minus_lagging,preferred_bic_model,strong_leaky_boundary_support,strong_constant_head_support,nfev_leaky_best_start,nfev_constant_head_best_start
MW-01,28.53505435743645,172.39885239945636,35,0.043460507420703384,0.049366468639856005,0.04501213750432919,0.13699531769220558,0.11778196559023682,0.12549842981272205,0.08009236587255655,0.14705199209642447,0.1682844990486781,0.5846357906370507,True,0.0012298981080514399,5.5860707656599244e-05,999999.9549679869,2.853505564242745e-05,False,0.0012264722194287,5.551269162194227e-05,138.97947121946794,4.870482091205439,True,0.011648336419256371,0.013088761018575958,0.011391697525705947,0.010824740870654406,0.07758360709611685,0.0771889360277216,-307.24093332913026,-302.574889144662,-310.814466039812,-306.1484218553437,-304.5707372828349,-289.2987025709394,1.995848138172903,-13.276186573722612,-1.577684572508815,-16.84971928440433,Constant-head boundary,False,False,10,14
MW-07,17.497459583829144,175.8228930310977,35,0.030805897167034423,0.033753957634185636,0.032776390258029135,0.08916760695392767,0.08027265632122359,0.08234026015364486,0.11014609422359797,0.13495729105281729,0.1455826104369361,1.2352702734358425,False,0.007114136580857439,2.372217871643258e-05,16.079488614503813,1.088185078724849,True,0.008544180057061876,2.966132018103175e-05,32.25812824228168,1.8435892414973254,True,0.004806847670575063,0.006280191044822452,0.003736877475135884,0.0037774111351979753,0.056133823862613376,0.05484022541543224,-385.26534411823934,-380.5992999337711,-384.5101472201778,-379.84410303570957,-366.52926845295065,-340.70344920106857,-14.070031480820433,-39.89585073270251,-13.31483458275892,-39.140653834641,Leaky,False,False,24,4
MW-03,20.09827833430204,180.2794893905448,31,0.030529535942496765,0.038419320820575996,0.03110463366041832,0.12687024841345138,0.09598372745861729,0.12146199184187831,0.1440719788771365,0.114573776475288,0.17680644143765464,1.135585219378047,False,0.002334879982809025,6.623336903030995e-05,999789.7169262901,2.0102505550958567e-05,False,0.0023348704673786386,6.623183395472198e-05,841.4277352683871,41.86566238523572,False,0.021785275783604795,0.006407296333772603,0.0169131537714345,0.016911689126149498,0.1686121184607457,0.168612335420554,-246.93914506768107,-242.63718345422564,-246.9445143761507,-242.64255276269526,-230.376325120859,-299.38376010355825,-12.260858333366627,56.74657664933261,-12.266227641836252,56.741207340862985,Lagging Darcy,False,False,8,20
MW-06,17.042475827018023,185.61220322932485,27,0.04698599501610099,0.05632088153476622,0.049214536831065435,0.12971954719020787,0.11003059518922303,0.12937210192979648,0.16213427725293916,0.12715941419440513,0.16958978356091015,1.2498831576647547,False,0.002277341578038631,6.698673529602449e-05,999999.9510765185,1.7042476660795314e-05,False,0.0022773415217014117,6.698673988097928e-05,376.4094513657451,22.086547470351125,False,0.01435985183690659,0.004614133472588792,0.01429913221185466,0.014299135613337493,0.127865008364844,0.12786500864548936,-223.36804711434044,-219.48053651632745,-223.36803426880212,-219.48052367078913,-222.54755405969115,-277.2627368991167,3.067017543363704,57.782200382789256,3.067030388902026,57.78221322832758,Lagging Darcy,False,False,8,8
MW-02,26.68220604044817,186.32856752624525,32,0.03273813234179308,0.039565499622694594,0.03239786238408949,0.13369034585118297,0.0989875892138987,0.1239333419314603,0.16100669198861264,0.11884239375422032,0.180999568695041,1.2043254953340967,False,0.001273987798568312,6.265201084224587e-05,999842.9186481609,2.6686397975917942e-05,False,0.0012739822410298364,6.265217158966458e-05,410.6320336169178,15.389733254980165,False,0.021280502631617366,0.00456935556678365,0.016022237379021767,0.016022118536731432,0.15689129398668947,0.15689168024355996,-258.5617718708386,-254.1645641624394,-258.5622465819922,-254.16503887359303,-239.4662238667869,-330.99357465127406,-14.698340295652514,76.82901048883465,-14.698815006806143,76.82853577768103,Lagging Darcy,False,False,6,14
MW-05,17.354672008507535,192.2303948891566,28,0.033001289702313814,0.04358592116784925,0.03481339983658372,0.12214542377212326,0.09177366302633617,0.11903815598627382,0.15883912699679276,0.10619386523469844,0.17339258786930764,1.3004099710941766,False,0.002512853887613856,7.801279860241597e-05,999999.9999921143,1.735467200864439e-05,False,0.0025128521450869913,7.801300129477445e-05,291.7843734365088,16.813015728183828,False,0.02489544597927753,0.0035888123960707377,0.02367527424463547,0.023675392326842834,0.19278341438206748,0.19278343234915654,-203.62614715024432,-199.6295336197187,-203.6258678467375,-199.62925431621187,-200.1475325193023,-301.94748260511005,0.5179988995836027,102.31794898539135,0.518278203090432,102.31822828889818,Lagging Darcy,False,False,7,9
MW-04,20.03325282529062,193.73021550831643,29,0.021788709473046702,0.030296082011659797,0.022348776128311848,0.12582703790579475,0.090780957935172,0.12129011054170365,0.15609581378627216,0.1095059701274173,0.19206494030324495,1.2405585984082317,False,0.0024142244652576505,6.495370208240056e-05,999999.9999999782,2.0033252825291057e-05,False,0.0024142247193873084,6.495091865827163e-05,602.6592189831761,30.082943805429327,False,0.025381199892275913,0.006779454509660092,0.017974232511390548,0.017972230271153734,0.25560321708389755,0.25560245927878883,-227.0913322830006,-222.9894447930412,-227.09779355484022,-222.9959060648808,-206.34270770259877,-276.1746175720743,-16.64673709044243,53.18517277903308,-16.65319836228204,53.17871150719347,Lagging Darcy,False,False,10,19
MW-08,5.843416890268858,266.6335393365701,43,0.4981215960505712,0.42069505187722234,0.41219732944662807,0.36403625270597295,0.43166266980891105,0.4812234427048117,0.0071247386494533846,0.4327216058685119,0.48507243508180325,0.019571508596996624,True,0.0002981122918764212,1.381067162792918e-05,22.57968238430263,0.25879092499242573,True,0.0002936827042745191,1.5807229375381837e-05,36.58470927892108,6.260841895406474,False,0.12436602114378449,0.14949118128883482,0.03080403681683866,0.03571123639258077,0.01903691762841919,0.02071607626970017,-293.28941976138805,-288.0058194143074,-280.57693095521734,-275.29333060813667,-171.74685966956602,-148.39973686684212,-116.25895974474136,-139.60608254746526,-103.54647093857065,-126.89359374129455,Leaky,True,False,7,12
MW-11,12.357706052704296,268.4088597288054,39,0.518722855703908,0.4308158219220403,0.4314135215268768,0.32619194639974936,0.506719554145504,0.5186867852274848,0.023156548522396726,0.5153928304452399,0.5287292650289065,0.07099055871237941,True,0.00019973516855293337,1.2372795177015157e-05,32.735298640815145,0.37750399616933433,True,0.00021126565375094428,1.4426261887896198e-05,55.21396559810271,4.467978552218433,True,0.1195536477129853,0.12486855847495357,0.049116685149877104,0.053104739769332276,0.04846785022989787,0.04623425583761696,-229.05740560802911,-224.06672066964018,-222.96814929495693,-217.977464356568,-158.34410244190084,-147.62425633147197,-65.72261822773933,-76.44246433816821,-59.63336191466715,-70.35320802509602,Leaky,True,False,7,13
MW-13,36.57128860632061,287.63349167873656,30,0.018701572543581225,0.025393172881100514,0.019333276646081275,0.11318563174437218,0.07880921705627349,0.09927235060343936,0.17385897845329026,0.09692788820543086,0.16953584150460088,1.5360516681653356,False,0.0008290443484679165,7.903184784062489e-05,999963.021858744,3.657264099460541e-05,False,0.0008290441561511646,7.903261471179134e-05,449.2488678665018,12.2841957444414,False,0.025901910323511773,0.0047812828260106015,0.02404987122539704,0.024050203787836833,0.24006727632117336,0.2400674304692695,-217.65753821388284,-213.45394606889639,-217.65670853757229,-213.45311639258583,-212.4039185565898,-306.9779941638292,-1.050027512306599,93.5240480949328,-1.0491978359960399,93.52487777124335,Lagging Darcy,False,False,6,7
