test,well_key,x_model,y_model,layer
MWP1,mAirp,380849.841,4455733.06,7
MWP1,mBing,372720.395,4450453.833,7
MWP1,mFeth,378832.676,4457243.884,7
MWP1,mMoIr,379022.604,4455397.085,7
MWP1,mNDOA,376022.179,4452930.744,3
MWP1,mTwEl,369223.109,4430969.607,3
MWP1,mWagT,376853.891,4456614.43,7
MWP2,bAIRP,380849.84,4455733.06,7
MWP2,bBD__,373231.47,4449633.49,5
MWP2,bBING,372720.39,4450453.83,7
MWP2,bBS__,373231.47,4449633.49,3
MWP2,bFETH,378832.68,4457243.88,7
MWP2,bLEID,372035.08,4451837.1,7
MWP2,bMD__,378991.26,4454906.84,5
MWP2,bMOIR,379022.6,4455397.08,7
MWP2,bMS__,378991.26,4454906.84,4
MWP2,bNDOA,376022.18,4452930.74,3
MWP2,bPINN,370933.68,4442384.25,7
MWP2,bTWEL,369223.11,4430969.61,3
MWP2,bWD__,370860.07,4435105.45,5
MWP2,bWS__,370860.07,4435105.45,4
MWP2,bWWBN,372315.8,4449492.35,7
