well_key,well,model,n,distance_m,distance_mi,S,T_m2s,B_m,tau_q_s,tau_s_s,rmse_m,sd_eta,aic,bic,cost,min_log_bound_fraction,boundary_hit,success
bFETH__,FETH,Theis confined,49,9173.2608,5.7,0.008149222411448642,0.14782486008042087,,,,0.002251883687490377,0.06738906630391585,-259.40460682340597,-255.6209662271847,0.21111791292745594,0.2322198725862474,False,True
bFETH__,FETH,Hantush-Jacob leaky,49,9173.2608,5.7,0.008144063049405396,0.14768648076416482,189578.77717721945,,,0.0022525583934998985,0.06739917990044557,-257.3870160490969,-251.71155515476505,0.21122267313118995,0.23225559732254258,False,True
bFETH__,FETH,Lagging Darcy no-leakage,49,9173.2608,5.7,0.0080265148609503,0.12895259754054936,,7899.208462511558,36242.27912924918,0.002142287475510017,0.06583316800721666,-258.90103196624085,-251.33375077379836,0.19875098798957216,0.2330757217142248,False,True
bFETH__,FETH,Lagging Darcy with leakage,49,9173.2608,5.7,0.008014023639467929,0.12860898022163844,119852.57314580906,7889.803857700575,36335.20872904857,0.002142660342216787,0.06583800787887119,-256.89462777691875,-247.43552628636562,0.1987722742086851,0.2331635769668913,False,True
bMOIR__,MOIR,Theis confined,49,8046.72,5.0,0.006941570523413156,0.1792235785724748,,,,0.0023073635164266243,0.06309291091297213,-263.4190156126171,-259.63537501639587,0.1921097368030057,0.2412676322968078,False,True
bMOIR__,MOIR,Hantush-Jacob leaky,49,8046.72,5.0,0.006939778692215984,0.1791389231137964,298357.8362863543,,,0.0023084954145973858,0.06311192270284578,-261.38809136010684,-255.71263046577496,0.19234002003912287,0.24128219517092758,False,True
bMOIR__,MOIR,Lagging Darcy no-leakage,49,8046.72,5.0,0.007089338587980992,0.15131147757352076,,1500.3384700748313,43325.823498738646,0.002025996148132429,0.04497089476600679,-296.7878834980488,-289.2206023056063,0.08697050685265602,0.24007942419200623,False,True
bMOIR__,MOIR,Lagging Darcy with leakage,49,8046.72,5.0,0.00623852017819149,0.11564074384596028,12110.9683235555,1654.4373157416185,53850.26251424451,0.002090996302749842,0.04459680416087092,-295.6570245107959,-286.1979230202428,0.0831041937939282,0.24729131547939476,False,True
bMD____,MD,Theis confined,69,7724.8512,4.8,0.008219531848941163,0.5246266986839565,,,,0.01422423375875314,0.44528924486186616,-107.01042919640537,-102.54221618721085,13.81053305385484,0.2133582685966789,False,True
bMD____,MD,Hantush-Jacob leaky,69,7724.8512,4.8,0.008341823708738653,0.518208805607127,1391914.1525966541,,,0.014197603454142959,0.44562417832569007,-104.89161208048523,-98.18929256669345,13.835031113649158,0.21424920193090732,False,True
bMD____,MD,Lagging Darcy no-leakage,69,7724.8512,4.8,0.015564457166223788,0.10340882849616027,,24325.886610396512,893730.3431641359,0.010987551475121949,0.3616693938256251,-133.35100326376906,-124.41457724538002,8.898689353708273,0.19571917085997484,False,True
bMD____,MD,Lagging Darcy with leakage,69,7724.8512,4.8,0.015556532808037326,0.10320388596088076,168459.36473707843,24318.800898279722,894121.7572635899,0.010987610190088629,0.36167045370332995,-131.35059705989218,-120.18006453690589,8.898768660275698,0.1957478979994397,False,True
bLEID__,LEID,Theis confined,49,1609.344,1.0,0.004229584452688156,0.051668242870474106,,,,0.13697171816296083,0.4002694378259251,-81.39813921040235,-77.6144986141811,16.827717317960467,0.26921423283497004,False,True
bLEID__,LEID,Hantush-Jacob leaky,49,1609.344,1.0,0.004449969146787766,0.0488063271052646,789411.8933878018,,,0.1407654776107909,0.4115015343041743,-77.12239286253792,-71.44693196820604,17.68979784676157,0.26634900555622637,False,True
bLEID__,LEID,Lagging Darcy no-leakage,49,1609.344,1.0,0.009984623683095996,0.03014890257320988,,4442.3893092247445,216104.44890402487,0.016694759293771212,0.0320282521762881,-330.22978417666735,-322.66250298422483,0.1080695708196901,0.220761777519289,False,True
bLEID__,LEID,Lagging Darcy with leakage,49,1609.344,1.0,0.009985378237690006,0.03013926603383754,140159.00829974757,4442.049589495661,216141.69657200272,0.01669689388685912,0.03203484705860936,-328.20970632977185,-318.75060483921874,0.10811474536922161,0.2207575147263225,False,True
bWWBN__,WWBN,Theis confined,166,965.6064,0.6,0.0015361751618073016,0.035754019693805886,,,,0.049175702001943704,0.11175643028130437,-718.7526973476764,-712.5287217709633,2.0274864755612416,0.32634615593171334,False,True
bWWBN__,WWBN,Hantush-Jacob leaky,166,965.6064,0.6,0.0016050397536180295,0.029658144216815598,573057.9607616258,,,0.13618891284597012,0.2914251893759235,-370.80820070041074,-361.4722373353411,5.394488263636335,0.32387244130755843,False,True
bWWBN__,WWBN,Lagging Darcy no-leakage,166,965.6064,0.6,0.0018037415616993348,0.03422212914147788,,15.760236651513486,1816.9108085203975,0.018809568726412075,0.02720863673662454,-1189.3118842398617,-1176.8639330864355,0.09869373880779252,0.13306252605029992,False,True
bWWBN__,WWBN,Lagging Darcy with leakage,166,965.6064,0.6,0.0018039504642212304,0.034200851562789916,129486.70200290516,15.819157735155219,1818.855925110582,0.018917386751479193,0.027219707737682203,-1187.012559603396,-1171.4526206616133,0.098712362391049,0.13324259516522857,False,True
bWS____,WS,Theis confined,69,15449.7024,9.6,0.01664212435125053,2.1961025115615427,,,,0.004033066034150858,0.21461058533085278,-208.76823255022416,-204.30001954102963,3.163907641161115,0.1097245652295823,False,True
bWS____,WS,Hantush-Jacob leaky,69,15449.7024,9.6,0.016649035976696265,2.1924878332046935,627613.7895571635,,,0.004033115169928827,0.2146181776517439,-206.76246312653737,-200.0601436127456,3.164508060109369,0.10984380133167915,False,True
bWS____,WS,Lagging Darcy no-leakage,69,15449.7024,9.6,0.02093799618596122,0.7798294144887652,,48451.541123818475,605365.2436635115,0.0038532589899377893,0.2046802231568216,-211.91690699139443,-202.9804809730054,2.8527121123477333,0.17898951251944678,False,True
