Unnamed: 0,Unnamed: 1,WELL,DATE-TIME,DD-ft,WEIGHT,PLUS LABEL,Trimmed_WELL,TenChar_TAG,pif #,PEST MEASURED VALUE,MOD2OBS_Measured,MOD2OBS_Measured__PLUS,weight,time_s,drawdown_m,short,well_number,distance_mi,distance_m,certainty
,,FETH_12hr,2017-11-28 12:00:00,0.003371718,5.0,,bFETH__,bFETH__0001,l1  [bFETH__0001]37:57,bFETH__0001   +000.003      010.00000      DD_Bongo,bFETH       11/28/2017  12:00:00    +000.003,bFETH       11/28/2017  12:00:00    +000.003,5.0,4020.0,0.0010276996464,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-11-29 00:00:00,0.008934429,5.0,,bFETH__,bFETH__0002,l1  [bFETH__0002]37:57,bFETH__0002   +000.009      010.00000      DD_Bongo,bFETH       11/29/2017  00:00:00    +000.009,bFETH       11/29/2017  00:00:00    +000.009,5.0,47220.0,0.0027232139592,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-11-29 12:00:00,0.005739474,5.0,,bFETH__,bFETH__0003,l1  [bFETH__0003]37:57,bFETH__0003   +000.006      010.00000      DD_Bongo,bFETH       11/29/2017  12:00:00    +000.006,bFETH       11/29/2017  12:00:00    +000.006,5.0,90420.0,0.0017493916752,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-11-30 00:00:00,0.001140692,5.0,,bFETH__,bFETH__0004,l1  [bFETH__0004]37:57,bFETH__0004   +000.001      010.00000      DD_Bongo,bFETH       11/30/2017  00:00:00    +000.001,bFETH       11/30/2017  00:00:00    +000.001,5.0,133620.0,0.0003476829216,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-11-30 12:00:00,0.003404151,5.0,,bFETH__,bFETH__0005,l1  [bFETH__0005]37:57,bFETH__0005   +000.003      010.00000      DD_Bongo,bFETH       11/30/2017  12:00:00    +000.003,bFETH       11/30/2017  12:00:00    +000.003,5.0,176820.0,0.0010375852248,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-12-01 00:00:00,0.0004390926,5.0,,bFETH__,bFETH__0006,l1  [bFETH__0006]37:57,bFETH__0006   +000.000      010.00000      DD_Bongo,bFETH       12/01/2017  00:00:00    +000.000,bFETH       12/01/2017  00:00:00    +000.000,5.0,220020.0,0.00013383542448,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-12-01 12:00:00,0.003627131,5.0,,bFETH__,bFETH__0007,l1  [bFETH__0007]37:57,bFETH__0007   +000.004      010.00000      DD_Bongo,bFETH       12/01/2017  12:00:00    +000.004,bFETH       12/01/2017  12:00:00    +000.004,5.0,263220.0,0.0011055495288,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-12-02 00:00:00,0.002517426,5.0,,bFETH__,bFETH__0008,l1  [bFETH__0008]37:57,bFETH__0008   +000.003      010.00000      DD_Bongo,bFETH       12/02/2017  00:00:00    +000.003,bFETH       12/02/2017  00:00:00    +000.003,5.0,306420.0,0.0007673114448,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-12-02 12:00:00,0.01026437,5.0,,bFETH__,bFETH__0009,l1  [bFETH__0009]37:57,bFETH__0009   +000.010      010.00000      DD_Bongo,bFETH       12/02/2017  12:00:00    +000.010,bFETH       12/02/2017  12:00:00    +000.010,5.0,349620.0,0.003128579976,FETH,1,5.7,9173.2608,moderate
,,FETH_12hr,2017-12-03 00:00:00,0.007945311,5.0,,bFETH__,bFETH__0010,l1  [bFETH__0010]37:57,bFETH__0010   +000.008      010.00000      DD_Bongo,bFETH       12/03/2017  00:00:00    +000.008,bFETH       12/03/2017  00:00:00    +000.008,5.0,392820.0,0.0024217307928,FETH,1,5.7,9173.2608,moderate
