test,entry,well_key,has_series,rows,date_start,date_end,n_before,n_during,n_recovery,mode_interval_min,max_abs_drawdown_ft,p95_abs_drawdown_ft,drawdown_column,measured_column_present
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_Airport.ft_WLM.xlsx,W_Airport.ft,True,982,2017-02-28 12:15:00.000,2017-03-20 23:00:00.000,387,191,404,30.0,0.2665589999999995,0.2575589999999997,DD-W_Airport.ft,True
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_Bingo.ft_WLM.xlsx,W_Bingo.ft,True,1169,2017-02-28 15:45:00.000,2017-03-25 00:00:00.000,380,191,598,30.0,0.1149746900405683,0.08366615037575538,DD-W_Bingo.ft,True
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_Feth.ft_WLM.xlsx,W_Feth.ft,True,3040,2017-02-05 00:15:00.000,2017-04-05 00:00:00.000,1723,191,1126,30.0,11.578432799999941,9.321132799999996,DD-W_Feth.ft,True
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_NDOA.ft_WLM.xlsx,W_NDOA.ft,True,2509,2017-02-01 00:00:00.125,2017-03-24 23:45:25.080,1720,191,598,30.0,0.0837602853016737,0.05711813408795297,DD-W_NDOA.ft,True
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_TWEL.ft_WLM.xlsx,W_TWEL.ft,True,2998,2017-02-01 13:15:00.000,2017-04-05 00:00:00.000,1681,191,1126,30.0,11.9900877211428,11.488920441669565,DD-W_2011.ft,True
MWP1,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/MooRAH_AQ2017/WLMs/W_WagonT.ft_WLM.xlsx,W_WagonT.ft,True,1722,2017-02-28 15:15:00.000,2017-04-05 12:00:00.000,381,191,1150,30.0,8.184044899999996,8.01979489999999,DD-W_WagonT.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_AIRP.ft_WLM.xlsx,W_AIRP.ft,True,1019,2017-11-20 18:00:00.000,2018-01-02 04:00:00.000,185,145,689,60.0,0.04725443409685569,0.04374310320055315,DD-W_AIRP.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_BD.ft_WLM.xlsx,W_BD.ft,True,1906,2017-11-23 11:45:00.000,2018-01-02 04:30:00.000,238,289,1379,30.0,0.0615215683816564,0.051659053936238236,DD-W_BD.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_BS.ft_WLM.xlsx,W_BS.ft,True,1906,2017-11-23 11:45:00.000,2018-01-02 04:30:00.000,238,289,1379,30.0,0.060361803656570304,0.04725155316998419,DD-W_BS.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_FETH.ft_WLM.xlsx,W_FETH.ft,True,1007,2017-11-20 16:00:00.000,2018-01-01 14:00:00.000,187,145,675,60.0,0.1264761473778055,0.10836550174098636,DD-W_FETH.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_LEID.FT_WLM.xlsx,W_LEID.FT,True,1397,2017-11-20 17:30:00.000,2018-01-02 01:00:00.000,371,289,737,30.0,2.629358949658999,2.314955817320561,DD-W_LEID.FT,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_MD.ft_WLM.xlsx,W_MD.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.146756095741117,0.07973335064515041,DD-W_MD.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_MOIR.ft_WLM.xlsx,W_MOIR.ft,True,1007,2017-11-20 16:00:00.000,2018-01-01 14:00:00.000,187,145,675,60.0,0.105257276472873,0.0834829934542367,DD-W_MOIR.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_MS.ft_WLM.xlsx,W_MS.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.133528763200389,0.09125007081521547,DD-W_MS.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_NDOA.ft_WLM.xlsx,W_NDOA.ft,True,1266,2017-11-23 11:45:00.000,2018-01-02 04:00:00.000,238,289,739,60.0,0.0489736120501282,0.026977575724821526,DD-W_NDOA.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_PINN.ft_WLM.xlsx,W_PINN.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.03862501951057801,0.033244369714123916,DD-W_PINN.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_TWEL.ft_WLM.xlsx,W_TWEL.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.0483386213581881,0.02924594044058318,DD-W_TWEL.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_WD.ft_WLM.xlsx,W_WD.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.0839901554362926,0.03368543442964569,DD-W_WD.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_WS.ft_WLM.xlsx,W_WS.ft,True,953,2017-11-23 12:00:00.000,2018-01-02 04:00:00.000,119,145,689,60.0,0.0628971813681225,0.030074181952214993,DD-W_WS.ft,True
MWP2,OFR2019_1133_DataRelease/Multi-WellPumpingTests/analyses/MFparts/Bongo_AQ2017/WLMs/W_WWBN.ft_WLM.xlsx,W_WWBN.ft,True,943,2017-11-23 11:45:00.000,2018-01-02 04:00:00.000,238,57,648,60.0,9.030466391965012,3.3699951852712844,DD-W_WWBN.ft,True
