test,sheet,role,rows,date_start,date_end,n_before,n_during,n_recovery,mode_interval_min
MWP1,readme,readme,0,,,,,,
MWP1,Flow_RyePatch,surface_water,6147,2017-01-31 00:00:00,2017-04-05 00:00:00.000,37.0,4.0,6106.0,0.0
MWP1,Barometer,barometer,6147,2017-01-31 12:00:00,2017-04-05 12:30:00.000,3463.0,382.0,2302.0,15.0
MWP1,TWEL,water_level,6064,2017-02-01 13:15:00,2017-04-05 17:45:00.000,3363.0,378.0,2323.0,15.0
MWP1,AIRP,water_level,1960,2017-02-28 12:15:00,2017-03-20 23:00:00.000,774.0,378.0,808.0,15.0
MWP1,BING,water_level,3434,2017-02-28 15:45:00,2017-04-05 10:00:00.000,760.0,382.0,2292.0,15.0
MWP1,FETH,water_level,6125,2017-01-31 16:15:00,2017-04-05 12:15:00.000,3446.0,378.0,2301.0,15.0
MWP1,NDOA,water_level,6116,2017-01-31 17:45:00,2017-04-05 10:30:30.575,3440.0,381.0,2295.0,15.0
MWP1,WAGT,water_level,3440,2017-02-28 15:15:00,2017-04-05 12:00:00.000,762.0,378.0,2300.0,15.0
MWP2,readme,readme,0,,,,,,
MWP2,Pumping,pumping,7,2017-09-22 12:00:00,2017-12-04 11:28:00.000,3.0,4.0,0.0,1.0
MWP2,Barometer,barometer,2499,2017-09-22 12:00:00,2018-01-04 14:00:00.000,1607.0,145.0,747.0,60.0
MWP2,AIRP,water_level,1020,2017-11-20 18:00:00,2018-01-02 05:00:00.000,185.0,145.0,690.0,60.0
MWP2,BD,water_level,3813,2017-11-23 11:45:00,2018-01-02 04:45:00.000,477.0,578.0,2758.0,15.0
MWP2,BS,water_level,3813,2017-11-23 11:45:00,2018-01-02 04:45:00.000,477.0,578.0,2758.0,15.0
MWP2,FETH,water_level,1008,2017-11-20 16:00:00,2018-01-01 15:00:00.000,187.0,145.0,676.0,60.0
MWP2,LEID,water_level,2161,2017-11-20 17:30:00,2018-01-02 02:00:00.000,742.0,578.0,841.0,15.0
MWP2,MD,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,MOIR,water_level,1008,2017-11-20 16:00:00,2018-01-01 15:00:00.000,187.0,145.0,676.0,60.0
MWP2,MS,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,NDOA,water_level,1894,2017-11-23 11:45:00,2018-01-02 05:00:00.000,477.0,578.0,839.0,15.0
MWP2,PINN,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,TWEL,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,WD,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,WS,water_level,954,2017-11-23 12:00:00,2018-01-02 05:00:00.000,119.0,145.0,690.0,60.0
MWP2,WWBN,water_level,1223,2017-11-23 11:45:00,2018-01-02 05:00:00.000,477.0,97.0,649.0,60.0
