scenario_class,pathway,median_capacity_factor,p05_capacity_factor,p95_capacity_factor,median_response_time_factor,p05_response_time_factor,p95_response_time_factor
homogeneous confined,Theis confined,1.2380760260555672,1.1885014701138847,1.2808984726763077,0.8334199663002223,0.7907262825826205,0.8487561405140078
homogeneous confined,Hantush-Jacob leaky,1.2324517662569032,1.1644235247700312,1.2808909581701178,0.8334219920005216,0.8021854004003893,0.8491107592975252
homogeneous confined,Lagging Darcy no-leakage,1.0543553881904357,1.0306029241267927,1.0686987796096163,0.9803688509364573,0.9715563868051116,0.9912350454096922
homogeneous confined,Lagging Darcy with leakage,1.054346818749844,1.0306091148957455,1.0686965221086404,0.9803656817857754,0.9715581822112119,0.9912390328446625
vertical leakage,Theis confined,2.359244150285694,1.4385201538728285,6.772210233944727,0.6919238898971082,0.5249481729146167,0.7591653788583006
vertical leakage,Hantush-Jacob leaky,1.806986884610831,1.3731870797087606,2.5869551076429884,0.750268437357931,0.7101060779950457,0.7825523688165337
vertical leakage,Lagging Darcy no-leakage,2.345916196848948,1.3194204122423974,20.271915071499354,0.7122963118624606,0.053967671436181947,0.8558464100052341
vertical leakage,Lagging Darcy with leakage,1.2744801651262667,1.0777089082009745,1.7883690293805454,0.9086939958153157,0.8355748646782333,0.9594828368323173
constant head boundary,Theis confined,1.2816585998933874,1.190478935200569,1.5829680053723907,0.8049593138865859,0.7734685100600325,0.8450395421339982
constant head boundary,Hantush-Jacob leaky,1.2816510194955484,1.1694676511783646,1.5829573231360776,0.8094565296524147,0.7835591849792435,0.8453099184840462
constant head boundary,Lagging Darcy no-leakage,1.0819976557962956,1.0329311484395947,1.4531768347185166,0.9582618690968988,0.8483926080122051,0.990678021360572
constant head boundary,Lagging Darcy with leakage,1.0704754191278358,1.0329284571393063,1.1981443854233456,0.9702317570083342,0.9247686064596244,0.9906914704823251
heterogeneous K,Theis confined,1.1935380662838817,0.8655645514188942,1.3846627311416002,1.047962288577991,0.7212772216745788,1.222918458588966
heterogeneous K,Hantush-Jacob leaky,1.1829584991153757,0.8489559923268722,1.3846404825622494,1.0483074605610803,0.7298891225099615,1.231676585296945
heterogeneous K,Lagging Darcy no-leakage,1.0012556511407866,0.759410126736383,1.1403497228392572,1.2029856106812569,0.9204268776766502,1.4582492370151692
heterogeneous K,Lagging Darcy with leakage,1.0012572193409492,0.6859326908290279,1.1403374579558094,1.2029891244006579,0.9204206789933824,1.5368500365251847
heterogeneous leakage boundary,Theis confined,2.097787950938625,1.4669907980705092,3.2171375042792016,0.614903890247805,0.4990466753360073,0.7431090888615133
heterogeneous leakage boundary,Hantush-Jacob leaky,1.883704182623318,1.4197876472001436,2.606643174083441,0.6657748759101599,0.5152827615580363,0.7544132853120772
heterogeneous leakage boundary,Lagging Darcy no-leakage,1.969074728880282,1.3508281692732889,7.749539184557607,0.6031621349314776,0.06153320900178254,0.8320547515459905
heterogeneous leakage boundary,Lagging Darcy with leakage,1.4941400034357613,1.1514326125344927,1.96138356616527,0.7687035111204725,0.6411541380985591,0.9063685993953249
