test_name,reference_solution,tested_solution,limiting_case,radius_m,n_times,pass_flag,rmse_m,mae_m,max_abs_error_m,bias_eta,sd_eta,max_abs_eta
Hantush B -> infinity recovers Theis,Theis confined,Hantush-Jacob leaky,B=1e12 m,10.0,40,True,0.0,0.0,0.0,0.0,0.0,0.0
Lagging tau_q=tau_s recovers Theis,Theis confined,Lagging Darcy no-leakage,tau_q=tau_s=1000 s,10.0,40,True,1.3953643903176147e-05,1.0468992779532213e-05,3.597399033371945e-05,-0.0007982447250166186,0.00344900673088218,0.015317907418789585
Lagging leaky tau_q=tau_s recovers Hantush,Hantush-Jacob leaky,Lagging Darcy with leakage,"B=80 m, tau_q=tau_s=1000 s",10.0,40,False,0.0284114240138418,0.014433667837837028,0.0798211294122102,0.019499801437247482,0.03372353096346072,0.10235678607721257
Lagging leaky B -> infinity recovers lagging no-leakage,Lagging Darcy no-leakage,Lagging Darcy with leakage,"B=1e12 m, tau_q=100 s, tau_s=1000 s",10.0,40,True,0.0,0.0,0.0,0.0,0.0,0.0
Lagging leaky no-lag and B -> infinity recovers Theis,Theis confined,Lagging Darcy with leakage,"B=1e12 m, tau_q=tau_s=0 s",10.0,40,True,1.3953643903176147e-05,1.0468992779532213e-05,3.597399033371945e-05,-0.0007982447250166186,0.00344900673088218,0.015317907418789585
Hantush B -> infinity recovers Theis,Theis confined,Hantush-Jacob leaky,B=1e12 m,20.0,40,True,0.0,0.0,0.0,0.0,0.0,0.0
Lagging tau_q=tau_s recovers Theis,Theis confined,Lagging Darcy no-leakage,tau_q=tau_s=1000 s,20.0,40,True,1.3943022719171593e-05,1.0226866136451113e-05,3.6521873412402595e-05,-0.0003422104302415874,0.00390269826630476,0.015150473564372546
Lagging leaky tau_q=tau_s recovers Hantush,Hantush-Jacob leaky,Lagging Darcy with leakage,"B=80 m, tau_q=tau_s=1000 s",20.0,40,False,0.0007350656943236784,0.00035347039065425454,0.002171686231201564,0.00027731766652763274,0.004184909406780916,0.01517899945692126
Lagging leaky B -> infinity recovers lagging no-leakage,Lagging Darcy no-leakage,Lagging Darcy with leakage,"B=1e12 m, tau_q=100 s, tau_s=1000 s",20.0,40,True,0.0,0.0,0.0,0.0,0.0,0.0
Lagging leaky no-lag and B -> infinity recovers Theis,Theis confined,Lagging Darcy with leakage,"B=1e12 m, tau_q=tau_s=0 s",20.0,40,True,1.3943022719171593e-05,1.0226866136451113e-05,3.6521873412402595e-05,-0.0003422104302415874,0.00390269826630476,0.015150473564372546
Hantush B -> infinity recovers Theis,Theis confined,Hantush-Jacob leaky,B=1e12 m,50.0,40,True,0.0,0.0,0.0,0.0,0.0,0.0
