scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_homogeneous_confined_00000,homogeneous confined,dense5,2.0,7.5,1005.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,495.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00001,homogeneous confined,sparse3,2.0,5.0,605.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_homogeneous_confined_00002,homogeneous confined,far4,5.0,7.5,1005.0,0.0,0.0,,none,220.4540768504865,220.4540768504865,200.0,,495.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00003,homogeneous confined,dense5,5.0,7.5,605.0,0.0,0.0,,none,220.4540768504864,220.4540768504864,200.0,,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00004,homogeneous confined,far4,1.0,10.0,605.0,0.0,0.0,,none,100.0,98.59006035092999,200.0,,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00005,homogeneous confined,dense5,5.0,10.0,805.0,0.0,0.0,,none,220.4540768504864,220.4540768504864,200.0,,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00006,homogeneous confined,standard4,10.0,10.0,405.0,0.0,0.0,,none,192.5,311.76914536239855,100.0,,192.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00007,homogeneous confined,near4,5.0,5.0,805.0,0.0,0.0,,none,220.4540768504865,220.4540768504865,50.0,,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_homogeneous_confined_00008,homogeneous confined,far4,10.0,5.0,805.0,0.0,0.0,,none,311.76914536239855,311.76914536239855,200.0,,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_homogeneous_confined_00009,homogeneous confined,standard4,10.0,7.5,405.0,0.0,0.0,,none,195.0,311.7691453623984,100.0,,195.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00010,homogeneous confined,sparse3,10.0,7.5,1205.0,0.0,0.0,,none,311.76914536239855,311.76914536239855,200.0,,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00011,homogeneous confined,sparse3,10.0,10.0,1005.0,0.0,0.0,,none,311.76914536239855,311.76914536239855,200.0,,492.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00012,homogeneous confined,mixed4,1.0,7.5,605.0,0.0,0.0,,none,100.0,98.59006035093006,200.0,,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00013,homogeneous confined,sparse3,2.0,10.0,1005.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,492.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00014,homogeneous confined,mixed4,2.0,10.0,1205.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00015,homogeneous confined,far4,2.0,10.0,1205.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00016,homogeneous confined,mixed4,2.0,5.0,1005.0,0.0,0.0,,none,139.42740046346736,139.42740046346736,200.0,,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_homogeneous_confined_00017,homogeneous confined,standard4,2.0,5.0,805.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,100.0,,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_homogeneous_confined_00018,homogeneous confined,dense5,2.0,10.0,1205.0,0.0,0.0,,none,139.4274004634673,139.4274004634673,200.0,,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00019,homogeneous confined,mixed4,10.0,10.0,1205.0,0.0,0.0,,none,311.76914536239855,311.76914536239855,200.0,,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_homogeneous_confined_00020,homogeneous confined,sparse3,5.0,5.0,605.0,0.0,0.0,,none,220.4540768504865,220.4540768504865,200.0,,297.5,1.0,1.0000000000000027,sensitivity comparison only
