scenario_class,scenario_count,median_effective_support_radius_m,p10_effective_support_radius_m,p90_effective_support_radius_m,median_diffusion_radius_m,median_observation_max_radius_m,median_support_target_spread,median_fixed130_T_ratio_to_effective
anisotropic heterogeneous K,1000,172.64010909653183,100.0,306.9051281776244,172.64010909653183,200.0,1.3894236032032157,1.0042040368281588
combined leakage boundary,1000,100.0,50.0,164.6346215889798,174.05969002119386,200.0,1.350139390356369,1.0035852019467124
constant head boundary,1000,139.4274004634673,100.0,311.7691453623984,179.94073865697686,200.0,1.0,1.0000000000000044
finite no-flow boundary,1000,165.96370023173375,100.0,311.76914536239855,179.94073865697686,200.0,1.0,1.0000000000000044
heterogeneous K,1000,165.9637002317336,100.0,311.76914536239775,179.94073865697646,200.0,1.3614605128831054,1.0023750665202193
heterogeneous boundary,1000,165.9637002317336,100.0,311.76914536239786,179.94073865697646,200.0,1.3589646238872493,0.9992093969256366
heterogeneous leakage,1000,100.0,52.21222504596298,157.02724057117413,179.94073865697646,200.0,1.359464470242481,0.9994064397414397
heterogeneous storage,1000,165.9637002317336,100.0,311.76914536239775,179.94073865697646,200.0,1.3085699465219203,1.0002037926636935
homogeneous confined,1000,165.96370023173375,100.0,311.76914536239855,179.94073865697686,200.0,1.0,1.0000000000000044
vertical leakage,1000,100.0,50.407051180663665,153.67554791547963,179.94073865697686,200.0,1.0,1.0000000000000044
