scenario_id,scenario_class,reference_solution,well,dx_m,domain_m,radius_m,time_count,duration_days,pass_flag,rmse_m,mae_m,max_abs_error_m,bias_eta,sd_eta,max_abs_eta
deg_theis_dx20p0,homogeneous confined,Theis analytical,R20E,20.0,805.0,20.0,40,2.0,False,0.004410980304133676,0.003731131635290532,0.007636130970640642,0.23550442123529916,0.3803874777250561,1.173727057103295
deg_theis_dx20p0,homogeneous confined,Theis analytical,R50E,20.0,805.0,40.0,40,2.0,True,0.002545358585505351,0.0017113245677912018,0.005893901447330426,0.19412519246069682,0.29849575876161916,0.9733373797607632
deg_theis_dx20p0,homogeneous confined,Theis analytical,R100E,20.0,805.0,100.0,40,2.0,True,0.001209101270975869,0.000671396313730694,0.00393994845072676,0.0683245807938251,0.13539841079991524,0.4585589773226352
deg_theis_dx20p0,homogeneous confined,Theis analytical,R100N,20.0,805.0,100.0,40,2.0,True,0.0012091013448461568,0.0006713963378398004,0.003939949147207883,0.06832458064635848,0.13539841090078425,0.4585589773226352
deg_hantush_dx20p0,vertical leakage,Hantush-Jacob analytical,R20E,20.0,805.0,20.0,40,2.0,False,0.004472940207819472,0.0037447852716357387,0.008022435685962503,0.23519939384771477,0.38008411547211113,1.1723332287883819
deg_hantush_dx20p0,vertical leakage,Hantush-Jacob analytical,R50E,20.0,805.0,40.0,40,2.0,True,0.0024275964234039753,0.0015697815368126817,0.005698564858214197,0.1927873532440938,0.2972249829245785,0.9683396367814286
deg_hantush_dx20p0,vertical leakage,Hantush-Jacob analytical,R100E,20.0,805.0,100.0,40,2.0,True,0.001071147431250872,0.0006017607346279983,0.00291855255935021,0.0598577858278857,0.12892780316359453,0.4312839409169296
deg_hantush_dx20p0,vertical leakage,Hantush-Jacob analytical,R100N,20.0,805.0,100.0,40,2.0,True,0.0010711474453748353,0.000601760739907526,0.002918552614155509,0.05985778576782378,0.12892780320755054,0.4312839409169298
deg_theis_dx10p0,homogeneous confined,Theis analytical,R20E,10.0,805.0,20.0,40,2.0,True,0.0026145834652393715,0.0019440904374314239,0.005905429504583292,0.20986217123291145,0.3105762712838769,0.9987870973858475
deg_theis_dx10p0,homogeneous confined,Theis analytical,R50E,10.0,805.0,50.0,40,2.0,True,0.002698136157970186,0.001684468429121,0.006552993258079065,0.06519558160544225,0.137713571463431,0.4639634449534414
deg_theis_dx10p0,homogeneous confined,Theis analytical,R100E,10.0,805.0,100.0,40,2.0,True,0.0012323989087982372,0.0006057619903513444,0.004489511526901496,0.039705463287255,0.08802195488622248,0.2981646131002264
deg_theis_dx10p0,homogeneous confined,Theis analytical,R100N,10.0,805.0,100.0,40,2.0,True,0.0012323991366460173,0.0006057620565446028,0.004489513425092073,0.03970546288172934,0.08802195519326363,0.29816461310022613
deg_hantush_dx10p0,vertical leakage,Hantush-Jacob analytical,R20E,10.0,805.0,20.0,40,2.0,True,0.0029335699041751614,0.0023245477553953254,0.0058531625377253385,0.2103163975901403,0.3096222233817348,0.9972304187970545
deg_hantush_dx10p0,vertical leakage,Hantush-Jacob analytical,R50E,10.0,805.0,50.0,40,2.0,True,0.002413198854825656,0.0015533911405538846,0.0051355626442504965,0.062018215004161194,0.13660262416696417,0.4569525970767414
deg_hantush_dx10p0,vertical leakage,Hantush-Jacob analytical,R100E,10.0,805.0,100.0,40,2.0,True,0.0011550817733622996,0.000577557176869801,0.003391245811251331,0.030733783968826645,0.0825453136626333,0.27218720386987105
deg_hantush_dx10p0,vertical leakage,Hantush-Jacob analytical,R100N,10.0,805.0,100.0,40,2.0,True,0.0011550818027723422,0.00057755718703556,0.003391245917074931,0.030733783852154528,0.08254531376186124,0.27218720386987105
deg_theis_dx5p0,homogeneous confined,Theis analytical,R20E,5.0,805.0,20.0,40,2.0,True,0.003926225914460465,0.0031343074407908763,0.0064968260340814155,0.10003398702421448,0.18645269065597103,0.6056393941436755
deg_theis_dx5p0,homogeneous confined,Theis analytical,R50E,5.0,805.0,50.0,40,2.0,True,0.0029997346592650492,0.0017556138782471357,0.007445751830336855,0.03605899790975355,0.09058679655957302,0.2990951560356354
deg_theis_dx5p0,homogeneous confined,Theis analytical,R100E,5.0,805.0,100.0,40,2.0,True,0.0012446850556353608,0.0005932275275179479,0.004599668429124931,0.0328669698484864,0.07602202383625473,0.25907767801834625
deg_theis_dx5p0,homogeneous confined,Theis analytical,R100N,5.0,805.0,100.0,40,2.0,True,0.001244685383480812,0.0005932276219494535,0.004599670902899727,0.03286696926638148,0.07602202429821665,0.2590776780183461
