scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
anisotropic heterogeneous K,Lagging Darcy no-leakage,2082,-0.416651868399847,1.1563760654638404,1.675824121242617,0.9315628506502814,0.06195791294412939,0.6742949071571313,0.7587219769920951,1.1569922862611528,-0.416651868399847,1.1563760654638404,1.675824121242617,0.9315628506502814,0.47860978134397647,0.8209649099741511,0.9808350126500719,1.407922066806042,0.36076897237185734,0.1781312473380438,0.0
anisotropic heterogeneous K,Theis confined,1198,0.12710040269396608,0.6085036616295206,0.6694290606629422,1.1318858140176105,0.10346948148080153,0.4897835693634599,0.5206790837433899,1.0920570506709204,0.12710040269396608,0.6085036616295206,0.6694290606629422,1.1318858140176105,-0.02363092121316459,0.6058834482432646,0.6659840025622404,0.9600516808448714,0.5624879917115251,0.4143854555034767,0.0
anisotropic heterogeneous K,Lagging Darcy with leakage,269,-0.38704688885131155,0.7072256989780756,0.8056044881260702,0.758839550830692,0.05386786348545924,0.6922150229601823,0.784040888356514,1.1374665700065987,-0.38704688885131155,0.7072256989780756,0.8056044881260702,0.758839550830692,0.44091475233677074,0.9693207577067836,1.248564552234865,1.529875710591021,0.04618084077936716,0.0102882930316037,0.0
anisotropic heterogeneous K,Hantush-Jacob leaky,11,2.6206640594491604,1.6300163020963754,3.640439076730778,21.457702259433628,-6.233764584024456,0.7159627234108388,0.8183098204466356,0.0013453407028614734,2.6206640594491604,1.6300163020963754,3.640439076730778,21.457702259433628,-8.854428643473618,1.9907448755490194,7.184592034134638,7.114302309860227e-05,1.4338687140475626,1.129040927019972,0.0
combined leakage boundary,Theis confined,970,0.7167989848146993,0.9115906307597009,1.1382475199713535,1.670954338276579,0.49908605435003195,0.6884496483604329,0.7786831318798835,1.4882955459273497,0.7167989848146993,0.9115906307597009,1.1382475199713535,1.670954338276579,-0.2177129304646673,0.6756839907621452,0.7606684818008942,0.8155551383977713,0.5919626949183507,0.4487290732631314,0.0
combined leakage boundary,Lagging Darcy no-leakage,855,-0.07563749672487384,1.4742845623103915,2.790900091379928,1.0603391298956717,0.44297914913957903,0.9246243128511672,1.1624156193356543,1.510293164557435,-0.07563749672487384,1.4742845623103915,2.790900091379928,1.0603391298956717,0.5186166458644529,1.0394054088037605,1.3949015888467382,1.4988235268098122,0.6469993937299687,0.5609772509496037,0.0
combined leakage boundary,Lagging Darcy with leakage,1241,0.06236185080775934,1.5141902609092504,2.9836806851574966,1.125577540922231,0.09497652810306866,1.2140063390008722,1.8346235056585471,1.2335813825580246,0.06236185080775934,1.5141902609092504,2.9836806851574966,1.125577540922231,0.0326146772953093,1.0126469250136811,1.3372959720424753,1.0352897765859608,0.07517379361210456,0.0060257078331433,0.0
combined leakage boundary,Hantush-Jacob leaky,234,0.9544536929795767,1.5307167603428669,3.0681270785786845,1.8031302390754855,-0.564925321492733,2.3659757454924675,16.396440108144354,1.1673973177070573,0.9544536929795767,1.5307167603428669,3.0681270785786845,1.8031302390754855,-1.5193790144723096,3.1408122170585946,138.70157768148772,0.7582287978176451,0.466945427979204,0.2892525022200984,0.0
constant head boundary,Lagging Darcy no-leakage,1824,-0.36718121938559195,1.0171453562071588,1.3468248944196621,0.9606697005087094,0.028709821803650084,0.49205110606126506,0.5233925718976145,1.079529649031762,-0.36718121938559195,1.0171453562071588,1.3468248944196621,0.9606697005087094,0.39589104118924207,0.6286545323703601,0.6961973708578555,1.1926145314994363,0.36664596306793057,0.2152580860523256,0.0
constant head boundary,Theis confined,1286,0.2243585411989328,0.5588846522847147,0.6055045323448919,1.1622378751613982,0.07843514850112958,0.3111652188311832,0.31885143196620414,1.038850576393543,0.2243585411989328,0.5588846522847147,0.6055045323448919,1.1622378751613982,-0.1459233926978033,0.34768424465190323,0.3584611225281623,0.8848919503171673,0.5692278388618877,0.43203183612957197,0.0
