scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
homogeneous confined,Theis confined,3999,0.29915480127296984,0.8783280196076726,1.0783886375035707,1.1972936070960154,0.0068048954268853995,0.47694055514234246,0.5053935649094159,1.0191382990883,0.29915480127296984,0.8783280196076726,1.0783886375035707,1.1972936070960154,-0.29234990584608445,0.6231978543883706,0.6889001983637444,0.8366545365586708,0.5516573336380549,0.3507934143301335,0.026506626656664166
homogeneous confined,Hantush-Jacob leaky,3999,-0.0008783652531165846,1.4485496292533757,2.6743722328095836,1.153032097056,-0.3198298177681568,1.300775455676053,2.1048566857413684,1.0017130544821,-0.0008783652531165846,1.4485496292533757,2.6743722328095836,1.153032097056,-0.3189514525150402,1.0710938204569984,1.4661154547370578,0.8497192556463418,0.5526942089590402,0.3579006586094088,0.8777194298574643
homogeneous confined,Lagging Darcy no-leakage,3999,-0.5483927971743512,1.6567906628369804,3.816270197026133,0.9482866977638305,-0.12528132567419056,0.8978613720280627,1.1132301976210863,1.0522123874963,-0.5483927971743512,1.6567906628369804,3.816270197026133,0.9482866977638305,0.4231114715001606,0.8932049272560976,1.1048454750540193,1.1712122809472327,0.46556380059155145,0.3307130976437413,0.1285321330332583
homogeneous confined,Lagging Darcy with leakage,3999,-1.5082958536786624,2.4591857385880185,20.54492761962499,0.884032199882653,-0.8615873680719133,1.6183404568676647,3.5668402305470326,1.020995166472,-1.5082958536786624,2.4591857385880185,20.54492761962499,0.884032199882653,0.6467084856067492,1.149563746498877,1.6580195273597047,1.2669001506144624,0.46278468110813537,0.3289033891403374,0.2248062015503876
vertical leakage,Theis confined,4000,1.1196907374580956,1.4354991380566546,2.6174667894110666,1.9611735038877023,0.6161156932987364,1.1236699127818828,1.5920803828850725,1.3344639679897121,1.1196907374580956,1.4354991380566546,2.6174667894110666,1.9611735038877023,-0.5035750441593594,0.8267070372667193,0.9902971915498452,0.699229199819079,0.574838444473964,0.36783203761573086,0.12675
vertical leakage,Hantush-Jacob leaky,4000,0.3348437994812044,1.9790108894118814,7.015949901760923,1.4484422796614358,-0.3226348334043705,1.939139745029916,6.477632344052151,1.1050744119304448,0.3348437994812044,1.9790108894118814,7.015949901760923,1.4484422796614358,-0.6574786328855751,1.6203020290210646,3.5790784412226966,0.757542359349183,0.5406453552239152,0.35758865236314263,0.558
vertical leakage,Lagging Darcy no-leakage,4000,0.686803568473156,1.9162598276906577,6.191326411818065,1.5225732090444433,0.5582870640432386,1.3704986893925872,2.354178250209214,1.3313721311092357,0.686803568473156,1.9162598276906577,6.191326411818065,1.5225732090444433,-0.12851650442991744,1.2801618739485237,2.036924467442606,0.9293145982842138,0.49145796276421755,0.3481706484480326,0.24075
vertical leakage,Lagging Darcy with leakage,4000,-1.392051808012931,2.8163515625697233,52.759215923184065,0.9026825819776987,-1.0192377200758012,2.0478217511662877,8.078315021655113,1.0409205926405773,-1.392051808012931,2.8163515625697233,52.759215923184065,0.9026825819776987,0.37281408793712956,1.7222490430131099,4.291486933905104,1.2224477089689618,0.46385053180911723,0.3343553473981803,0.22625
finite no-flow boundary,Theis confined,4000,0.31772183150389083,0.8571071536464544,1.0414970374368266,1.1982227769663822,0.01693902579212311,0.4523982652630258,0.4765636573251772,1.0200283227156428,0.31772183150389083,0.8571071536464544,1.0414970374368266,1.1982227769663822,-0.30078280571176774,0.6664112627972103,0.7477249346484267,0.8399498283596798,0.5512017618158288,0.35032253706205463,0.0305
finite no-flow boundary,Hantush-Jacob leaky,4000,0.0291884284961598,1.3792538981043074,2.387795336639558,1.1552216655931309,-0.2968784417614395,1.2508525861979976,1.9444578049325956,1.0005633688953435,0.0291884284961598,1.3792538981043074,2.387795336639558,1.1552216655931309,-0.3260668702575993,1.0895438858643671,1.5091659121145244,0.8526319101594727,0.5512756877303441,0.35730473729357615,0.881
finite no-flow boundary,Lagging Darcy no-leakage,4000,-0.5269136839111223,1.6521502038230078,3.785070623934308,0.9470706701865835,-0.10909275109812679,0.8892251286060242,1.0977187135712996,1.05372777805014,-0.5269136839111223,1.6521502038230078,3.785070623934308,0.9470706701865835,0.4178209328129954,0.8950830477902966,1.1082213207276062,1.1691806345186744,0.46168424469500585,0.32628079070878246,0.1275
finite no-flow boundary,Lagging Darcy with leakage,4000,-1.5341333779202007,2.4929577457292385,22.340884607292235,0.8888267688299077,-0.8829635834458934,1.6433197800724093,3.726549604661217,1.0178053630614408,-1.5341333779202007,2.4929577457292385,22.340884607292235,0.8888267688299077,0.6511697944743071,1.1826291721272912,1.7463030312209393,1.2777661120202974,0.4585417275034219,0.32518954452656484,0.228
constant head boundary,Theis confined,3999,0.41397383702340174,0.9018619135551301,1.120474088465996,1.2502903102403207,0.0724767301601677,0.49268281843441447,0.5241493191832043,1.0379510488259,0.41397383702340174,0.9018619135551301,1.120474088465996,1.2502903102403207,-0.3414971068632341,0.689217041479611,0.7797734078339489,0.8174674677368751,0.5512415430747958,0.3520975463205009,0.03375843960990248
constant head boundary,Hantush-Jacob leaky,3999,0.10682709359168924,1.4429621638250973,2.649833063637259,1.1886424590869746,-0.25337993951330506,1.257323940415269,1.9644718967350931,1.0150471986611,0.10682709359168924,1.4429621638250973,2.649833063637259,1.1886424590869746,-0.3602070331049943,1.1136247588479131,1.567216247022219,0.833485626653237,0.5505055726077362,0.3536365837771122,0.8227056764191047
constant head boundary,Lagging Darcy no-leakage,3999,-0.4036595952673136,1.6374052034310473,3.6879648051869807,0.976391049476153,-0.04843133546329981,0.8692684933537671,1.062519398958971,1.0885445220401,-0.4036595952673136,1.6374052034310473,3.6879648051869807,0.976391049476153,0.3552282598040138,0.917332925973773,1.1488443896913454,1.1415541590226153,0.46607200557945644,0.3311103801734998,0.1322830707676919
constant head boundary,Lagging Darcy with leakage,3999,-1.521027138622429,2.5074683333245433,23.167908320647307,0.8842807914162093,-0.8740163979272756,1.6550075989376691,3.8042452348595677,1.0238838997484,-1.521027138622429,2.5074683333245433,23.167908320647307,0.8842807914162093,0.6470107406951534,1.1785883741416392,1.7352579655355294,1.2666204387714273,0.46124633638665463,0.3267195220265256,0.22305576394098525
heterogeneous K,Theis confined,4002,0.3339032735115123,0.9953873744296609,1.3012984344965413,1.262327231844054,0.04590935677710792,0.6209777008022263,0.6859416298382982,1.0397402466999748,0.3339032735115123,0.9953873744296609,1.3012984344965413,1.262327231844054,-0.2879939167344044,0.7417288526065944,0.8564655810794637,0.8156033587831598,0.5512592528032891,0.3588200239416074,0.03398300849575212
heterogeneous K,Hantush-Jacob leaky,4002,0.048784313487734446,1.4362149476240829,2.620551045776461,1.2067467308749091,-0.25990327447868233,1.2643382827419436,1.9864194239278785,1.0003004072931532,0.048784313487734446,1.4362149476240829,2.620551045776461,1.2067467308749091,-0.3086875879664168,1.084188916947458,1.4965463571032123,0.8376853437885879,0.5553955550263939,0.36686431751179555,0.8750624687656172
heterogeneous K,Lagging Darcy no-leakage,4002,-0.5588329916063167,1.7274038816018842,4.331884898463751,0.9104393046495944,-0.08292695665329235,0.9836638425313603,1.2773435931623298,1.094374149648528,-0.5588329916063167,1.7274038816018842,4.331884898463751,0.9104393046495944,0.4759060349530243,0.9664510270168502,1.242874780401194,1.2743502654276764,0.4644194962002809,0.33339348184917506,0.12868565717141428
heterogeneous K,Lagging Darcy with leakage,4002,-1.525232438839234,2.4722967375754483,21.221537196958543,0.7793193584822065,-0.829365240911035,1.6305438813279167,3.6438078279084456,0.985505790419752,-1.525232438839234,2.4722967375754483,21.221537196958543,0.7793193584822065,0.6958671979281987,1.240962938622382,1.914298574127197,1.417839503548083,0.46107375164203385,0.3302330627406739,0.22863568215892055
anisotropic heterogeneous K,Theis confined,4001,0.3487472385938833,1.0239192604195277,1.3612909031172256,1.2661468109011798,0.09707474395300102,0.7234161605411071,0.8292404516662054,1.0990497993468007,0.3487472385938833,1.0239192604195277,1.3612909031172256,1.2661468109011798,-0.2516724946408823,0.8406254843202801,1.013504430660256,0.840133604033156,0.560237085599645,0.3579102114383016,0.03724068982754311
anisotropic heterogeneous K,Hantush-Jacob leaky,4001,0.038926954123301744,1.4789998564116267,2.8128941235039773,1.2131630887181002,-0.25078063355753916,1.3823672304310908,2.399882081888214,1.0231509862765005,0.038926954123301744,1.4789998564116267,2.8128941235039773,1.2131630887181002,-0.2897075876808409,1.2601702770582006,1.9733458339864853,0.8672357497608691,0.5615498806238161,0.36472813687495,0.873531617095726
anisotropic heterogeneous K,Lagging Darcy no-leakage,4001,-0.5369660085930176,1.7909993217005713,4.870485605638554,0.8967892769189793,-0.009790208663115437,1.0618768642679504,1.4450542244563718,1.1290709964097998,-0.5369660085930176,1.7909993217005713,4.870485605638554,0.8967892769189793,0.527175799929902,1.0420844948670531,1.4007938034623872,1.42540426712546,0.4713815114850364,0.3304607229028399,0.13896525868532866
anisotropic heterogeneous K,Lagging Darcy with leakage,4001,-1.5287356643128491,2.544179038455833,25.422903540820226,0.7738379622631549,-0.7971060920363634,1.6969148689857916,4.099478707444603,0.9168369352307006,-1.5287356643128491,2.544179038455833,25.422903540820226,0.7738379622631549,0.7316295722764858,1.370482590840313,2.354116938916727,1.6237911068105273,0.46729438125908274,0.3282651200982667,0.2316920769807548
heterogeneous storage,Theis confined,3999,0.3976718812861371,0.976719914972024,1.2633392035216369,1.3214996158780778,0.07819584005791404,0.6726129955638274,0.7563687010445709,1.0674621682252265,0.3976718812861371,0.976719914972024,1.2633392035216369,1.3214996158780778,-0.31947604122822304,0.7909315182335894,0.9323712488987493,0.7939820194419891,0.5508164170010574,0.3556147232143841,0.035258814703675916
heterogeneous storage,Hantush-Jacob leaky,3999,0.0657464934245598,1.4624323872221072,2.7365064556594487,1.2474977862168195,-0.28050050327702186,1.39339635984399,2.4432701863622133,1.0032590351457888,0.0657464934245598,1.4624323872221072,2.7365064556594487,1.2474977862168195,-0.3462469967015817,1.1651635843180326,1.6990814176638485,0.8154613251411504,0.5529719875107534,0.3626234753937739,0.8712178044511127
heterogeneous storage,Lagging Darcy no-leakage,3999,-0.5008925758121279,1.7066270291779646,4.1718273292602674,0.9372568744300233,-0.04952115645722878,1.0024458648256191,1.3159133123155362,1.0892116551501405,-0.5008925758121279,1.7066270291779646,4.1718273292602674,0.9372568744300233,0.4513714193548991,1.0366833833510203,1.388938610970183,1.3089885040043783,0.46632310321577114,0.3285584940506719,0.13328332083020755
heterogeneous storage,Lagging Darcy with leakage,3999,-1.4467969978948036,2.4701359760576063,21.108270740976796,0.8260121605237492,-0.8059213613847306,1.6428067452360018,3.7231834303976985,0.9101162010003401,-1.4467969978948036,2.4701359760576063,21.108270740976796,0.8260121605237492,0.6408756365100733,1.3743958624155814,2.3690746036569132,1.4736770074189545,0.4621959227579971,0.326787213089861,0.21705426356589147
heterogeneous leakage,Theis confined,4002,1.182888334163204,1.4796816231925052,2.8160910702546786,2.24104201649747,0.6990703162976568,1.1956598738337674,1.7824249298825088,1.4664976541295562,1.182888334163204,1.4796816231925052,2.8160910702546786,2.24104201649747,-0.48381801786554723,0.9503804879391978,1.2114220477899822,0.6721474148805473,0.5892807465578758,0.3714093254505995,0.14742628685657172
heterogeneous leakage,Hantush-Jacob leaky,4002,0.3178297716917437,2.128309738131789,9.57762782791101,1.5753073866437048,-0.4135951384407789,2.1222801669580456,9.454339132369011,1.126101420452134,0.3178297716917437,2.128309738131789,9.57762782791101,1.5753073866437048,-0.7314249101325225,1.8531213075499795,5.47742756549968,0.7373232795442213,0.5486166934782185,0.3611484405003754,0.5659670164917541
heterogeneous leakage,Lagging Darcy no-leakage,4002,0.7944526813608217,1.924876878897116,6.2973157689028465,1.7268124791289996,0.6161779962000841,1.4827284954673083,2.830431073828764,1.4056819686595765,0.7944526813608217,1.924876878897116,6.2973157689028465,1.7268124791289996,-0.17827468516073755,1.419347539726674,2.5489867808567914,0.9142318409005649,0.5009757138409098,0.3474595635267161,0.24462768615692154
heterogeneous leakage,Lagging Darcy with leakage,4002,-1.356368496250983,2.827965853008132,54.51779897691768,0.8593577653453595,-1.064965048129001,2.16544180962105,10.380723187899527,1.0151936857052846,-1.356368496250983,2.827965853008132,54.51779897691768,0.8593577653453595,0.2914034481219824,1.9262555014761695,6.314476550269902,1.3368626315490437,0.47007014927434376,0.33013751490830284,0.21914042978510745
heterogeneous boundary,Theis confined,4001,0.355907798449581,0.9414920398037014,1.1943184513778735,1.2840740894070335,0.045476337424488526,0.568834752924451,0.6181076037118751,1.0358079674374,0.355907798449581,0.9414920398037014,1.1943184513778735,1.2840740894070335,-0.3104314610250925,0.7504877571004758,0.86967787439288,0.798299889545471,0.5531215934446589,0.357818451289866,0.03274181454636341
heterogeneous boundary,Hantush-Jacob leaky,4001,0.04048950339903507,1.4751184375364255,2.794774801895057,1.2181835798381566,-0.3022984453224029,1.3271702649568053,2.195556741353322,0.9936529756435998,0.04048950339903507,1.4751184375364255,2.794774801895057,1.2181835798381566,-0.3427879487214381,1.1651780996093057,1.6991201081730227,0.8187362457050327,0.5554026180817966,0.3679934505123392,0.8560359910022495
heterogeneous boundary,Lagging Darcy no-leakage,4001,-0.5108095870244015,1.7169908086463965,4.250749961395085,0.9259098740822883,-0.07162717895470778,0.9671541653687541,1.2442668032821886,1.0911806837172997,-0.5108095870244015,1.7169908086463965,4.250749961395085,0.9259098740822883,0.43918240806969366,0.9645414808458612,1.2391011812678834,1.2452402762908394,0.46635289978944955,0.3279401271164172,0.1284678830292427
heterogeneous boundary,Lagging Darcy with leakage,4001,-1.5137497783790266,2.527291485469005,24.355530240053223,0.7955024729872185,-0.8535271682875201,1.6797940955566868,3.975617365598746,0.9908912082969006,-1.5137497783790266,2.527291485469005,24.355530240053223,0.7955024729872185,0.6602226100915065,1.2904418900249175,2.0704935158433933,1.4273859778653533,0.46226008016628284,0.3269425525068352,0.22619345163709073
combined leakage boundary,Theis confined,4000,1.227110057172071,1.5257761803121,3.04258671238833,2.3188067657457925,0.7848928873650676,1.298123128591746,2.095976571386814,1.6301561036596908,1.227110057172071,1.5257761803121,3.04258671238833,2.3188067657457925,-0.4422171698070035,1.0008494136507307,1.3125949905244156,0.6706919802474249,0.5918314384176185,0.37481059005301254,0.16325
combined leakage boundary,Hantush-Jacob leaky,4000,0.38623156210979254,2.135229789815923,9.721504053051497,1.594133087855548,-0.27645181955590736,2.1337052534788623,9.689586245210164,1.202608116425593,0.38623156210979254,2.135229789815923,9.721504053051497,1.594133087855548,-0.6626833816657001,1.7609017527375694,4.605991856213038,0.731622079615727,0.5498864004269715,0.360270155371781,0.5725
combined leakage boundary,Lagging Darcy no-leakage,4000,0.7653651192344741,2.0134675861389146,7.525323067002409,1.7285526237696782,0.6475421567891478,1.6320941625223868,3.6537286819018115,1.5597536845793947,0.7653651192344741,2.0134675861389146,7.525323067002409,1.7285526237696782,-0.11782296244532628,1.587109181334604,3.3786278014394404,0.9839543897964931,0.503745497041352,0.3502927966411283,0.26925
combined leakage boundary,Lagging Darcy with leakage,4000,-1.2905239282779601,2.89484396343851,66.01923124901201,0.8255455243325507,-0.9055754050732155,2.155072545623115,10.148618873227695,0.919576234620074,-1.2905239282779601,2.89484396343851,66.01923124901201,0.8255455243325507,0.38494852320474443,1.937507240063829,6.456678901501986,1.4578709150487565,0.4733688426661961,0.3360490659846499,0.2445
