scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
homogeneous confined,Lagging Darcy no-leakage,3424,-0.2622595256237722,0.954135185839627,1.2187090410023367,0.9639588571480409,0.007917497080896964,0.449300733932176,0.47295911541830515,1.054422366099053,-0.2622595256237722,0.954135185839627,1.2187090410023367,0.9639588571480409,0.2701770227046691,0.6453640402791572,0.7187739774078029,1.1353698256265015,0.3959797133683017,0.2879121844436409,0.0
homogeneous confined,Lagging Darcy with leakage,2982,-0.7001163432611751,1.6312718635064756,3.648462405887211,0.9394130800365941,-0.34320943052785463,1.0386653968934603,1.3932781334830207,1.035034438165426,-0.7001163432611751,1.6312718635064756,3.648462405887211,0.9394130800365941,0.3569069127333204,0.9160603046369262,1.1464890086769184,1.1651869646454887,0.37418412197463974,0.25886022148960364,0.0
homogeneous confined,Theis confined,2277,0.23062086700637105,0.7061577280998275,0.8040593163065141,1.1539805789854571,0.02307426550653487,0.3706954283560915,0.38380241843356483,1.0224547487263,0.23062086700637105,0.7061577280998275,0.8040593163065141,1.1539805789854571,-0.20754660149983617,0.48495821169888137,0.5149195318692126,0.8775521044872201,0.6902612198123671,0.5266438363988035,0.0
homogeneous confined,Hantush-Jacob leaky,450,-0.6335215905588529,1.3696910838360452,2.3511047405704613,0.7755089158183652,-0.6664228267438456,1.323126260448843,2.181380256797696,0.8705929084249255,-0.6335215905588529,1.3696910838360452,2.3511047405704613,0.7755089158183652,-0.032901236184992744,1.494163891402607,2.8850276877971295,1.1502744312840656,0.8241892068030515,0.645067733228271,0.0
vertical leakage,Lagging Darcy no-leakage,2161,0.37823024885998724,1.2893570088140662,2.0669221368158612,1.2659527260196126,0.3742159523047948,0.7569617166747079,0.8795248304939846,1.3258971951875,0.37823024885998724,1.2893570088140662,2.0669221368158612,1.2659527260196126,-0.004014296555192435,0.9562431188870433,1.2228163753687369,1.0245421801267987,0.5648307641425496,0.4535561617598735,0.0
vertical leakage,Lagging Darcy with leakage,3050,-0.5929463107761402,2.029396545932118,7.775854955302817,0.9791445328190185,-0.49453959602864217,1.5276263258965024,3.052121232722423,1.0804445306377561,-0.5929463107761402,2.029396545932118,7.775854955302817,0.9791445328190185,0.09840671474749797,1.4978989478505036,2.9031298369667407,1.0878917248533395,0.37350390089602487,0.24469936745872334,0.0
vertical leakage,Theis confined,2058,0.9034878549581229,1.0263003946198452,1.3664096898945313,1.8504206933238458,0.45468963259989986,0.6417801445359546,0.7139018944372052,1.3192351268023301,0.9034878549581229,1.0263003946198452,1.3664096898945313,1.8504206933238458,-0.4487982223582231,0.6887825174838802,0.7791559532599587,0.7228971755095874,0.6941148535658971,0.5347007167606397,0.0
vertical leakage,Hantush-Jacob leaky,1152,0.27424009553995454,1.3662788691881504,2.3381694512937186,1.2790051850610358,-0.16032706594714352,1.4407168050952295,2.640046201563677,1.1023375395352277,0.27424009553995454,1.3662788691881504,2.3381694512937186,1.2790051850610358,-0.43456716148709806,1.656629275477849,3.815179907715427,0.8830292670339241,0.6026248318846209,0.4658439622579711,0.0
finite no-flow boundary,Lagging Darcy no-leakage,3437,-0.28237804541505584,0.97765789770235,1.265223012573612,0.9599725203248579,0.002469144547666523,0.4517968710528904,0.4758632410788321,1.0554539788305999,-0.28237804541505584,0.97765789770235,1.265223012573612,0.9599725203248579,0.2848471899627224,0.6538368542545102,0.7303582789320046,1.1385610791346732,0.39699119703115926,0.2888738469995598,0.0
finite no-flow boundary,Lagging Darcy with leakage,2993,-0.7787886867687435,1.7402156689736406,4.434311917992546,0.9330954804538596,-0.3974393371582538,1.121094253082085,1.5856676985360092,1.0342102945032001,-0.7787886867687435,1.7402156689736406,4.434311917992546,0.9330954804538596,0.38134934961048955,0.9425833166644632,1.1964073231241779,1.1687698433372093,0.37761448499129774,0.2613015813837803,0.0
