scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
anisotropic heterogeneous K,Hantush-Jacob leaky,dense5,82,59,0.647126543924897,0.4372641477001445,0.38632367559328,0.4218006663297976
anisotropic heterogeneous K,Hantush-Jacob leaky,far4,93,65,0.6047496636335217,0.5562970293684213,0.4874603041393365,0.3597139393754506
anisotropic heterogeneous K,Hantush-Jacob leaky,mixed4,79,65,0.5808041643841545,0.682041090926636,0.5402199788190278,0.4164214718302604
anisotropic heterogeneous K,Hantush-Jacob leaky,near4,59,45,0.6277784491817046,0.3848796664056024,0.279316331555933,0.5799755007338601
anisotropic heterogeneous K,Hantush-Jacob leaky,sparse3,57,48,0.6258294420314418,0.5435552737414436,0.4995617281197332,0.4618515919823981
anisotropic heterogeneous K,Hantush-Jacob leaky,standard4,84,58,0.6998670752050674,0.6456124325556951,0.3879191767189217,0.5863457386904379
anisotropic heterogeneous K,Lagging Darcy no-leakage,dense5,693,165,0.2929454237869321,0.257908017791463,0.3278225409858077,0.4436955489479844
anisotropic heterogeneous K,Lagging Darcy no-leakage,far4,497,165,0.3256928513441735,0.3592177915115223,0.3262757409641758,0.4988009418799204
anisotropic heterogeneous K,Lagging Darcy no-leakage,mixed4,484,165,0.26886471689439334,0.2932845764738081,0.34550548002174475,0.49899913655780465
anisotropic heterogeneous K,Lagging Darcy no-leakage,near4,591,163,0.2790951003746639,0.2212519850328326,0.2975563786569801,0.4350774793406803
anisotropic heterogeneous K,Lagging Darcy no-leakage,sparse3,395,165,0.3120603050106303,0.2847515857879639,0.3489518691354144,0.4255822497060156
anisotropic heterogeneous K,Lagging Darcy no-leakage,standard4,587,166,0.3713394359886089,0.2737816960257717,0.3137857883466627,0.4523150432537172
anisotropic heterogeneous K,Lagging Darcy with leakage,dense5,655,167,0.2164854804088092,0.3250169022798452,0.3417702567665799,0.5081439519190941
anisotropic heterogeneous K,Lagging Darcy with leakage,far4,408,160,0.31202171279151136,0.4172339085610802,0.41841943784129454,0.5400600217802514
anisotropic heterogeneous K,Lagging Darcy with leakage,mixed4,470,167,0.2330912098154255,0.4073838678284944,0.42172714576043857,0.5462171546060253
anisotropic heterogeneous K,Lagging Darcy with leakage,near4,581,167,0.230715376546029,0.2906739879864711,0.3207586732068558,0.505663135336791
anisotropic heterogeneous K,Lagging Darcy with leakage,sparse3,358,165,0.296269991500841,0.3206803527366478,0.37361679655009117,0.4516301593505554
anisotropic heterogeneous K,Lagging Darcy with leakage,standard4,489,166,0.3178123258082699,0.3344963062393304,0.3873004385286414,0.5168401678047221
anisotropic heterogeneous K,Theis confined,dense5,438,125,0.5340971029982734,0.27688735625086824,0.2915842455711405,0.33939686785767104
anisotropic heterogeneous K,Theis confined,far4,412,128,0.52373543400862,0.3517756762341005,0.3416108289545037,0.369908142468258
anisotropic heterogeneous K,Theis confined,mixed4,330,124,0.5143420823834524,0.3514676058629203,0.3151562388474441,0.4194684858640053
anisotropic heterogeneous K,Theis confined,near4,346,123,0.5077908297676322,0.21069464098509974,0.2383308724093729,0.3912448438450975
anisotropic heterogeneous K,Theis confined,sparse3,282,121,0.5789280658579808,0.30272099435909616,0.30881623581756357,0.345027855694167
anisotropic heterogeneous K,Theis confined,standard4,410,126,0.5789116788527191,0.28317576358360996,0.2968316792240392,0.39475692153018327
combined leakage boundary,Hantush-Jacob leaky,dense5,204,110,0.4639801271526889,0.5612722489179989,0.4354957486676963,0.4451290856273519
combined leakage boundary,Hantush-Jacob leaky,far4,177,98,0.4377617000889581,0.8973140854386833,0.5776678076928949,0.5080311523900491
combined leakage boundary,Hantush-Jacob leaky,mixed4,167,109,0.4077987132573932,0.733200007985241,0.5502504183510262,0.3876627767134167
combined leakage boundary,Hantush-Jacob leaky,near4,189,106,0.429713386477428,0.4063295946404625,0.3255854142203597,0.3293376458385645
combined leakage boundary,Hantush-Jacob leaky,sparse3,130,85,0.38839093328742763,0.5683772780381264,0.4578075470808606,0.38569487747087605
combined leakage boundary,Hantush-Jacob leaky,standard4,223,111,0.4180451052469144,0.5801706494800704,0.4578177464751263,0.3374684322672818
combined leakage boundary,Lagging Darcy no-leakage,dense5,445,129,0.4525400959090659,0.4677083856931219,0.4791740415876146,0.5441246843850105
combined leakage boundary,Lagging Darcy no-leakage,far4,264,122,0.5107707284557124,0.906183648984829,0.7002028327635605,0.6154555430561811
combined leakage boundary,Lagging Darcy no-leakage,mixed4,303,128,0.3763926110048607,0.6783231517909084,0.5336864255806719,0.6128149629027068
combined leakage boundary,Lagging Darcy no-leakage,near4,454,137,0.43632331466681795,0.3592300661198631,0.4519124804415011,0.48961252490289286
combined leakage boundary,Lagging Darcy no-leakage,sparse3,230,116,0.3774202879018006,0.5403638620316995,0.5172004327215773,0.5597620479916514
combined leakage boundary,Lagging Darcy no-leakage,standard4,404,136,0.47735115073865964,0.5894139054587226,0.5290909472691677,0.5218104857009794
combined leakage boundary,Lagging Darcy with leakage,dense5,655,166,0.2359828512146555,0.5623103138045535,0.4041576945680165,0.5362095561821759
combined leakage boundary,Lagging Darcy with leakage,far4,442,163,0.3142257956727431,1.3431361315222818,0.8923036459430818,0.7388965135941091
combined leakage boundary,Lagging Darcy with leakage,mixed4,461,165,0.2049998792737142,0.5940327896053105,0.4653732588220525,0.6156373346641754
combined leakage boundary,Lagging Darcy with leakage,near4,547,165,0.2051136402262825,0.4091264571835325,0.3369139546737303,0.4771004858692595
combined leakage boundary,Lagging Darcy with leakage,sparse3,380,164,0.2026229434002776,0.6759498003711776,0.48386735902190364,0.5261527722222437
combined leakage boundary,Lagging Darcy with leakage,standard4,480,163,0.2983182467122848,0.7919303358206331,0.4657992795688024,0.6172597689033844
combined leakage boundary,Theis confined,dense5,386,118,0.5684030530206876,0.6030743236026915,0.4349271057560029,0.47581333817731797
combined leakage boundary,Theis confined,far4,304,123,0.5468303169903665,0.9635184724959104,0.6438077374301894,0.5410624482881663
combined leakage boundary,Theis confined,mixed4,288,124,0.4624643351008651,0.7915598638559685,0.5317836539158747,0.4521099515796674
combined leakage boundary,Theis confined,near4,366,124,0.5258704431002127,0.5255804813252878,0.4015303465683534,0.435939418309287
combined leakage boundary,Theis confined,sparse3,226,108,0.420246546847007,0.7736504273579745,0.5361950903821405,0.4614034056313274
combined leakage boundary,Theis confined,standard4,398,131,0.5272709989660833,0.8077894536633536,0.5120525282367687,0.4439090269594733
constant head boundary,Hantush-Jacob leaky,dense5,93,67,0.5988740212658954,0.3703573968248675,0.1537869629988607,0.2245744668572426
constant head boundary,Hantush-Jacob leaky,far4,134,84,0.5922498611862348,0.43649406487545306,0.23375068653169073,0.21670081970138488
constant head boundary,Hantush-Jacob leaky,mixed4,86,63,0.6261588365550161,0.4129549222399316,0.1990368354181823,0.18315361498765906
constant head boundary,Hantush-Jacob leaky,near4,73,57,0.5669534236217917,0.2424838210794347,0.0763097116612504,0.1842752546507937
constant head boundary,Hantush-Jacob leaky,sparse3,71,58,0.6399446583832993,0.618893603385966,0.3565000246196902,0.2560478600737884
constant head boundary,Hantush-Jacob leaky,standard4,127,88,0.5539728302203276,0.2518906274383879,0.1114836322040329,0.1456371072459504
constant head boundary,Lagging Darcy no-leakage,dense5,671,158,0.2858009217742979,0.1138493828995318,0.1139495276167587,0.2073305930866301
constant head boundary,Lagging Darcy no-leakage,far4,508,159,0.3709623050749784,0.26474034941967045,0.10786894242954415,0.2653118063269605
constant head boundary,Lagging Darcy no-leakage,mixed4,439,152,0.3248884329423289,0.1837364530617133,0.1133822064094555,0.2833135167494443
constant head boundary,Lagging Darcy no-leakage,near4,595,162,0.2791569628049108,0.0934858047023158,0.1063944804063458,0.2040187115892399
constant head boundary,Lagging Darcy no-leakage,sparse3,386,157,0.33389179013706316,0.154689887741532,0.1033229558844923,0.21326577644981182
constant head boundary,Lagging Darcy no-leakage,standard4,565,156,0.3623148616597204,0.168451818087978,0.1106866156189477,0.2368592824749592
constant head boundary,Lagging Darcy with leakage,dense5,664,166,0.2031553661288114,0.14051473239833615,0.10269291976262909,0.22754791460316445
constant head boundary,Lagging Darcy with leakage,far4,447,162,0.3213937361180055,0.4929412971970716,0.1350621376048693,0.3399610471627441
constant head boundary,Lagging Darcy with leakage,mixed4,467,167,0.1491011132183101,0.1600706165585785,0.1256494248450645,0.1928133290553128
constant head boundary,Lagging Darcy with leakage,near4,589,167,0.2403458875566814,0.1317132164733463,0.0938265494783899,0.2465754871439745
constant head boundary,Lagging Darcy with leakage,sparse3,355,164,0.2553867155293461,0.2427416955947104,0.0994064490216018,0.2172129678415036
constant head boundary,Lagging Darcy with leakage,standard4,483,163,0.3148796966589303,0.2459260078896942,0.0964939031467733,0.2960346039883778
constant head boundary,Theis confined,dense5,431,122,0.4811246652134081,0.2223961288260509,0.0710122250885178,0.2148947088524862
constant head boundary,Theis confined,far4,422,123,0.5596581422301523,0.4200539012543789,0.11809751889700504,0.2888381548410402
constant head boundary,Theis confined,mixed4,337,119,0.5561221677352458,0.3132160602167201,0.1245683957466195,0.2352454742092172
constant head boundary,Theis confined,near4,392,133,0.4783475421816793,0.16418515635464181,0.05123995802400445,0.16541369765276936
constant head boundary,Theis confined,sparse3,282,120,0.5777690815606824,0.28990786677674135,0.10431557742993836,0.22811533619849195
constant head boundary,Theis confined,standard4,448,130,0.5224659505198187,0.19969333975817075,0.0541147602072127,0.18001852684513395
finite no-flow boundary,Hantush-Jacob leaky,dense5,76,60,0.6546509241487903,0.34373834010882387,0.15375422847795417,0.2168903865061593
finite no-flow boundary,Hantush-Jacob leaky,far4,84,64,0.6176747640382663,0.3967151666596262,0.2605453587547813,0.1409175483702024
