scenario_class,pathway,response_count,unique_scenarios,QUALITY_CONTROL_fraction,boundary_hit_fraction,bic_supported_fraction,median_delta_bic,median_sd_eta
anisotropic heterogeneous K,Hantush-Jacob leaky,4001,1000,0.11347163209197701,0.873531617095726,0.5161209697575606,9.33700492316408,0.36472813687495
anisotropic heterogeneous K,Lagging Darcy no-leakage,4001,1000,0.8115471132216946,0.13896525868532866,0.94976255936016,0.0,0.3304607229028399
anisotropic heterogeneous K,Lagging Darcy with leakage,4001,1000,0.7400649837540615,0.2316920769807548,0.9697575606098475,3.3327242668421206,0.3282651200982667
anisotropic heterogeneous K,Theis confined,4001,1000,0.5543614096475881,0.03724068982754311,0.5801049737565609,6.045987610666415,0.3579102114383016
combined leakage boundary,Hantush-Jacob leaky,4000,1000,0.2725,0.5725,0.5885,6.397831192985504,0.360270155371781
combined leakage boundary,Lagging Darcy no-leakage,4000,1000,0.525,0.26925,0.7125,4.009813650550363,0.3502927966411283
combined leakage boundary,Lagging Darcy with leakage,4000,1000,0.74125,0.2445,0.98475,2.640051305755681,0.3360490659846499
combined leakage boundary,Theis confined,4000,1000,0.492,0.16325,0.577,6.624603776666143,0.37481059005301254
constant head boundary,Hantush-Jacob leaky,3999,1000,0.14603650912728183,0.8227056764191047,0.5291322830707677,8.940343992707977,0.3536365837771122
constant head boundary,Lagging Darcy no-leakage,3999,1000,0.7911977994498625,0.1322830707676919,0.9157289322330583,0.0,0.3311103801734998
constant head boundary,Lagging Darcy with leakage,3999,1000,0.7514378594648662,0.22305576394098525,0.9714928732183046,3.3322573543744625,0.3267195220265256
constant head boundary,Theis confined,3999,1000,0.5781445361340335,0.03375843960990248,0.6074018504626156,5.521278036866562,0.3520975463205009
finite no-flow boundary,Hantush-Jacob leaky,4000,1000,0.11275,0.881,0.524,8.835297733663321,0.35730473729357615
finite no-flow boundary,Lagging Darcy no-leakage,4000,1000,0.85925,0.1275,0.98675,0.0,0.32628079070878246
finite no-flow boundary,Lagging Darcy with leakage,4000,1000,0.74825,0.228,0.97325,3.3333346885862625,0.32518954452656484
finite no-flow boundary,Theis confined,4000,1000,0.5645,0.0305,0.58875,5.528747501558377,0.35032253706205463
heterogeneous K,Hantush-Jacob leaky,4002,1000,0.11494252873563218,0.8750624687656172,0.5132433783108445,9.457676943508682,0.36686431751179555
heterogeneous K,Lagging Darcy no-leakage,4002,1000,0.8255872063968016,0.12868565717141428,0.9535232383808095,0.0,0.33339348184917506
heterogeneous K,Lagging Darcy with leakage,4002,1000,0.749375312343828,0.22863568215892055,0.9767616191904048,3.333995002577467,0.3302330627406739
heterogeneous K,Theis confined,4002,1000,0.5612193903048476,0.03398300849575212,0.5887056471764118,6.008732360708425,0.3588200239416074
heterogeneous boundary,Hantush-Jacob leaky,4001,1000,0.12871782054486378,0.8560359910022495,0.5243689077730568,9.091308739272712,0.3679934505123392
heterogeneous boundary,Lagging Darcy no-leakage,4001,1000,0.8065483629092727,0.1284678830292427,0.9332666833291677,0.0,0.3279401271164172
heterogeneous boundary,Lagging Darcy with leakage,4001,1000,0.7510622344413896,0.22619345163709073,0.9752561859535116,3.332467981291145,0.3269425525068352
heterogeneous boundary,Theis confined,4001,1000,0.5678580354911272,0.03274181454636341,0.5923519120219946,5.67143532422724,0.357818451289866
heterogeneous leakage,Hantush-Jacob leaky,4002,1000,0.2841079460269865,0.5659670164917541,0.5777111444277861,6.742997410029452,0.3611484405003754
heterogeneous leakage,Lagging Darcy no-leakage,4002,1000,0.5374812593703149,0.24462768615692154,0.7143928035982009,4.116447818589438,0.3474595635267161
heterogeneous leakage,Lagging Darcy with leakage,4002,1000,0.7701149425287356,0.21914042978510745,0.9852573713143429,2.5795237894008647,0.33013751490830284
heterogeneous leakage,Theis confined,4002,1000,0.48225887056471767,0.14742628685657172,0.5694652673663169,7.132791431798634,0.3714093254505995
heterogeneous storage,Hantush-Jacob leaky,3999,1000,0.11602900725181295,0.8712178044511127,0.5191297824456114,9.2158206131607,0.3626234753937739
heterogeneous storage,Lagging Darcy no-leakage,3999,1000,0.8144536134033509,0.13328332083020755,0.9474868717179294,0.0,0.3285584940506719
heterogeneous storage,Lagging Darcy with leakage,3999,1000,0.7611902975743936,0.21705426356589147,0.9747436859214804,3.3328283219797328,0.326787213089861
heterogeneous storage,Theis confined,3999,1000,0.5631407851962991,0.035258814703675916,0.5893973493373343,5.8693623707756615,0.3556147232143841
homogeneous confined,Hantush-Jacob leaky,3999,1000,0.11252813203300825,0.8777194298574643,0.5156289072268067,9.335032422261754,0.3579006586094088
homogeneous confined,Lagging Darcy no-leakage,3999,1000,0.8562140535133783,0.1285321330332583,0.9842460615153789,0.0,0.3307130976437413
homogeneous confined,Lagging Darcy with leakage,3999,1000,0.7456864216054013,0.2248062015503876,0.9664916229057264,3.333409517309235,0.3289033891403374
homogeneous confined,Theis confined,3999,1000,0.5693923480870218,0.026506626656664166,0.5881470367591898,6.11411422732024,0.3507934143301335
vertical leakage,Hantush-Jacob leaky,4000,1000,0.288,0.558,0.5785,6.897184035414216,0.35758865236314263
vertical leakage,Lagging Darcy no-leakage,4000,1000,0.54025,0.24075,0.70825,4.07498297834907,0.3481706484480326
vertical leakage,Lagging Darcy with leakage,4000,1000,0.7625,0.22625,0.987,2.4319812285255358,0.3343553473981803
vertical leakage,Theis confined,4000,1000,0.5145,0.12675,0.58475,6.150305806647774,0.36783203761573086

