dataset,outcome,factor,n,group_count,eta2_marginal,top_level,top_level_mean,bottom_level,bottom_level_mean
all_fits,lnM_S,pathway,160012,4,0.09104362913394679,Theis confined,0.2463139849304921,Lagging Darcy with leakage,-0.8894322753314005
all_fits,lnM_S,noise_sd_m,160012,4,0.034895973731022406,0.0,0.24224496467887477,0.01,-0.49453064729911766
all_fits,lnM_S,radius_bin,160012,4,0.013207960286728125,near,0.030492452418787914,very_far,-0.4024897797265877
all_fits,lnM_S,leakage_present,160012,2,0.009143411706124894,False,-0.009555427996199038,True,-0.305692165286452
all_fits,lnM_S,duration_days,160012,4,0.008919305258371119,10.0,-0.0457894058105464,1.0,-0.4012255010720544
all_fits,lnM_S,scenario_class,160012,10,0.008070175078618456,combined leakage boundary,0.0626019548812731,homogeneous confined,-0.32497340402184377
all_fits,lnM_S,obs_layout,160012,6,0.0026693776635151162,near4,-0.06581496183354967,far4,-0.31060909972170936
all_fits,lnM_S,sigma_ln_s_bin,160012,4,0.0012887323629086442,low,-0.04289889476078436,none,-0.22712024489445917
all_fits,lnM_S,anisotropy_bin,160012,4,0.0012445327883562583,high_Kx,-0.06885090331610105,near_iso,-0.22451558978589398
all_fits,lnM_S,support_spread_bin,160012,4,0.001073766178855421,high,-0.09813319624627481,none,-0.2408738779549201
all_fits,lnM_S,sigma_ln_k_bin,160012,4,0.0008770869713700567,high,-0.12903581139091078,none,-0.2401618511278231
all_fits,lnM_S,boundary_type,160012,4,0.0003854039631947734,constant_head_east,-0.14191564706125365,none,-0.2188452383145622
all_fits,lnM_S,domain_m,160012,5,0.00034421337149423577,405.0,-0.11598672792381436,1005.0,-0.22100851619032294
all_fits,lnM_S,corr_len_m_bin,160012,4,0.00030729552973538204,moderate,-0.16102621709071502,none_or_short,-0.22285455583929167
all_fits,lnM_S,dx_m,160012,3,5.520068979695479e-05,7.5,-0.18679678506467906,5.0,-0.2121395023160932
all_fits,lnM_S,boundary_present,160012,2,6.563189359356066e-06,False,-0.19895872650383514,True,-0.2066834365781374
all_fits,lnM_S,time_count,160012,3,5.731144896787891e-06,20,-0.19859689496538194,28,-0.206900353213724
