scenario_class,pathway,response_count,mu_lnM_T,sigma_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sigma_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sigma_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sigma_lnM_response_time,cov_M_response_time,median_M_response_time,median_response_cov,median_sd_eta,boundary_hit_fraction
homogeneous confined,Theis confined,4,0.2115403012066927,0.041724353958948926,0.04174252025549434,1.2380760260555672,0.019219295361853038,0.06148407219361743,0.06154222490554513,1.0387628249457221,0.2115403012066927,0.041724353958948926,0.04174252025549434,1.2380760260555672,-0.19232100584483958,0.03595939525359192,0.03597102296244404,0.8334199663002223,0.046750317678345935,0.046721474216781196,0.0
homogeneous confined,Hantush-Jacob leaky,4,0.20364403549715954,0.05145535891938368,0.05148943670982646,1.2324517662569032,0.0156786211502826,0.06774022917588202,0.06781801406926118,1.0384826268286964,0.20364403549715954,0.05145535891938368,0.05148943670982646,1.2324517662569032,-0.18796541434687683,0.028100274153502854,0.028105822238756246,0.8334219920005216,0.04687726209867035,0.04684811471083862,1.0
homogeneous confined,Lagging Darcy no-leakage,4,0.05020212119066057,0.019273642026444472,0.019275432075713354,1.0543553881904357,0.030961967339479833,0.009369313614440641,0.009369519237241872,1.0348698861668448,0.05020212119066057,0.019273642026444472,0.019275432075713354,1.0543553881904357,-0.019240153851180785,0.011144527940414706,0.011144873988363604,0.9803688509364573,0.003805927038884857,0.0038059090424987767,0.0
homogeneous confined,Lagging Darcy with leakage,4,0.05019991994586886,0.019268582235403592,0.019270370875181637,1.054346818749844,0.030960161680230164,0.009372829370508044,0.009373035224874688,1.0348703882847115,0.05019991994586886,0.019268582235403592,0.019270370875181637,1.054346818749844,-0.019239758265638722,0.011140024141050076,0.011140369769618845,0.9803656817857754,0.0038059247937525338,0.0038059067974954104,0.0
vertical leakage,Theis confined,8,0.976631031601009,0.6209025595022039,0.6858416016493094,2.359244150285694,0.5555735895229913,0.482303894576458,0.5117598448081332,1.6712145507345886,0.976631031601009,0.6209025595022039,0.6858416016493094,2.359244150285694,-0.42105744207801765,0.1475321557704419,0.14833859446710143,0.6919238898971082,0.07610920973149998,0.07599933643869304,0.0
vertical leakage,Hantush-Jacob leaky,8,0.6052706979160978,0.25067670596562824,0.2546668065596032,1.806986884610831,0.3090485023566815,0.23373640644053495,0.23696545464569718,1.3712468129129416,0.6052706979160978,0.25067670596562824,0.2546668065596032,1.806986884610831,-0.29622219555941615,0.03837776435424034,0.03839189989066792,0.750268437357931,0.023386041698674222,0.023382123613607593,0.125
vertical leakage,Lagging Darcy no-leakage,8,1.3325484423453675,1.1500972667664366,1.65940691768692,2.345916196848948,0.0765374130295108,0.4901437684949562,0.5211098240027252,1.1397241532019817,1.3325484423453675,1.1500972667664366,1.65940691768692,2.345916196848948,-1.2560110293158566,1.3778998986469666,2.382560602438592,0.7122963118624606,0.025438845628751375,0.025434731479430046,0.0
vertical leakage,Lagging Darcy with leakage,8,0.2732473906710716,0.20405295193068348,0.20619556194158944,1.2744801651262667,0.1743247030083683,0.14907563436430601,0.14990772914317618,1.1581124738359507,0.2732473906710716,0.20405295193068348,0.20619556194158944,1.2744801651262667,-0.09892268766270337,0.05528285676500995,0.05532512245835129,0.9086939958153157,0.0007978522086218951,0.0007978520429624369,0.0
constant head boundary,Theis confined,8,0.2831778707528064,0.11417820557036859,0.11455134391865449,1.2816585998933874,0.07001622047069142,0.10668366323797741,0.10698793669732405,1.0679170156255149,0.2831778707528064,0.11417820557036859,0.11455134391865449,1.2816585998933874,-0.21316165028211503,0.03713849234566745,0.03715130200612299,0.8049593138865859,0.04010012163616984,0.04008370157564724,0.0
constant head boundary,Hantush-Jacob leaky,8,0.2752863225615788,0.12118931908777195,0.12163565597090058,1.2816510194955484,0.06643326838340546,0.11130482263342249,0.11165044632266918,1.067913330469198,0.2752863225615788,0.12118931908777195,0.12163565597090058,1.2816510194955484,-0.20885305417817338,0.03253904958281146,0.032547664486003915,0.8094565296524147,0.04014235188666522,0.04012587251584614,1.0
