field_case,benchmark_class,pathway,matching_basis,allowable_use,recommended_cov_M_T_low,recommended_cov_M_T_high,recommended_cov_M_S_low,recommended_cov_M_S_high,median_M_T,median_M_S,converged_flag,mismatch_flags,claim_boundary
Massachusetts,heterogeneous K,Theis confined,spatial variability without persistent leakage support,sensitivity,0.127534969703125,0.3003395380482959,0.13909712117997672,0.47851242608453387,1.1945908282272653,1.065425752561158,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous K,Hantush-Jacob leaky,spatial variability without persistent leakage support,sensitivity,0.1268719002751442,0.301881200899104,0.14191258401350315,0.4809625739331154,1.1811632711933389,1.0654181375023841,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous K,Lagging Darcy no-leakage,spatial variability without persistent leakage support,sensitivity,0.10972289995485635,0.270980628742378,0.11492619468853967,0.4334198537118974,1.0264984094568952,1.069311700236691,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous K,Lagging Darcy with leakage,spatial variability without persistent leakage support,sensitivity,0.1203952404752846,0.34215616454413805,0.10763219950381918,0.38370462319879534,1.0230379680694852,1.0690889280300908,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous boundary,Theis confined,fractured bedrock with possible first type boundary behavior,sensitivity,0.09825862717183602,0.2713246088619815,0.09344956445591332,0.31392056321666595,1.244068755159357,1.0241569023566999,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous boundary,Hantush-Jacob leaky,fractured bedrock with possible first type boundary behavior,sensitivity,0.10127685349343339,0.27238167253615087,0.09660053885951829,0.3162989533257613,1.2299192326934214,1.0215617765639926,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous boundary,Lagging Darcy no-leakage,fractured bedrock with possible first type boundary behavior,sensitivity,0.07345979918628115,0.24305448820450665,0.06882917589923292,0.24793923432793244,1.060039067701736,1.0444672042617866,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous boundary,Lagging Darcy with leakage,fractured bedrock with possible first type boundary behavior,sensitivity,0.08018330210548542,0.2634627619279654,0.06150242279838827,0.22121619286617134,1.0399303178148622,1.044454367513776,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Theis confined,conservative class for spatial variability plus leakage/boundary alternatives,prior,0.39447814651450913,1.102228433991092,0.3453066457502802,1.0439251371236522,1.8244059675182154,1.2384905714386958,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Hantush-Jacob leaky,conservative class for spatial variability plus leakage/boundary alternatives,prior,0.24413725585051735,0.5555083055655377,0.21425377490317973,0.6263023169913051,1.701860327678363,1.2197601476194453,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Lagging Darcy no-leakage,conservative class for spatial variability plus leakage/boundary alternatives,prior,0.7817878944630833,2.2789476603744427,0.24414190082488688,1.239366166012928,1.7179674159523095,1.1191929060763501,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Lagging Darcy with leakage,conservative class for spatial variability plus leakage/boundary alternatives,prior,0.19274904149468167,0.5869981514430112,0.12378476695369249,0.4899899955449229,1.2516264662789685,1.1051732735403277,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,vertical leakage,Theis confined,basin-fill vertical exchange candidate,sensitivity,0.46417633094228056,1.2403697403675988,0.3261931337359432,0.7926943624491773,1.8050801110763397,1.3599617883460344,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,vertical leakage,Hantush-Jacob leaky,basin-fill vertical exchange candidate,sensitivity,0.21713236889429777,0.3905422721751231,0.1634584799508936,0.3221814909444124,1.5607580785498072,1.2252514252201523,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,vertical leakage,Lagging Darcy no-leakage,basin-fill vertical exchange candidate,sensitivity,0.9786551468752549,2.5254728601274667,0.33711808399497856,0.7092201026682595,1.7191680117781096,1.155348943204659,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,vertical leakage,Lagging Darcy with leakage,basin-fill vertical exchange candidate,sensitivity,0.13606182599255692,0.3406566168310131,0.08567243739806255,0.24813017365155116,1.1980084903831156,1.107539342799731,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,constant head boundary,Theis confined,late-time flattening or boundary-support candidate,sensitivity,0.05056072459555832,0.056131557021482384,0.03154563849784435,0.04806726476763853,1.2330029072506528,1.0436266482564207,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,constant head boundary,Hantush-Jacob leaky,late-time flattening or boundary-support candidate,sensitivity,0.05867375406967031,0.06550445659212169,0.035586981557948316,0.05293285388863814,1.2283255993331352,1.04343823296099,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,constant head boundary,Lagging Darcy no-leakage,late-time flattening or boundary-support candidate,sensitivity,0.021642289009881934,0.0332949307996816,0.007811914388497182,0.01228799988328155,1.0559246147866121,1.0396239063423047,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,constant head boundary,Lagging Darcy with leakage,late-time flattening or boundary-support candidate,sensitivity,0.02128280701515797,0.023034465252481973,0.007441352879708993,0.01078228656461816,1.0559235501263442,1.0391858715921318,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,heterogeneous leakage boundary,Theis confined,conservative upper-bound class if basin heterogeneity and leakage/boundary both remain plausible,sensitivity,0.39447814651450913,1.102228433991092,0.3453066457502802,1.0439251371236522,1.8244059675182154,1.2384905714386958,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,heterogeneous leakage boundary,Hantush-Jacob leaky,conservative upper-bound class if basin heterogeneity and leakage/boundary both remain plausible,sensitivity,0.24413725585051735,0.5555083055655377,0.21425377490317973,0.6263023169913051,1.701860327678363,1.2197601476194453,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,heterogeneous leakage boundary,Lagging Darcy no-leakage,conservative upper-bound class if basin heterogeneity and leakage/boundary both remain plausible,sensitivity,0.7817878944630833,2.2789476603744427,0.24414190082488688,1.239366166012928,1.7179674159523095,1.1191929060763501,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
Lovelock Valley,heterogeneous leakage boundary,Lagging Darcy with leakage,conservative upper-bound class if basin heterogeneity and leakage/boundary both remain plausible,sensitivity,0.19274904149468167,0.5869981514430112,0.12378476695369249,0.4899899955449229,1.2516264662789685,1.1051732735403277,True,field geometry and true support scale remain unverified; use conditional class only,scenario-conditioned transformation factor; not a universal design COV
