sensitivity_type,scenario_class,pathway,case_count,dx_values,domain_values,time_count_values,cov_M_T_range,cov_M_S_range,median_response_cov,reference_solution,mean_sd_eta,max_sd_eta,mean_rmse_m
grid_sensitivity,homogeneous confined,Theis confined,3,2.5;5.0;10.0,605.0,28,0.03404977331086757,0.06394632101202427,0.04627808021821014,Theis analytical,0.13977577468528765,0.32511220965094123,0.0032940739350067303
grid_sensitivity,homogeneous confined,Hantush-Jacob leaky,3,2.5;5.0;10.0,605.0,28,0.043382186030316044,0.0659033917789281,0.046403165740297916,Theis analytical,0.13977577468528765,0.32511220965094123,0.0032940739350067303
grid_sensitivity,homogeneous confined,Lagging Darcy no-leakage,3,2.5;5.0;10.0,605.0,28,0.0008587202469756729,0.021357201903847194,0.003787605115967165,Theis analytical,0.13977577468528765,0.32511220965094123,0.0032940739350067303
grid_sensitivity,homogeneous confined,Lagging Darcy with leakage,3,2.5;5.0;10.0,605.0,28,0.0008531273998786219,0.021356479695018363,0.0037878244119795698,Theis analytical,0.13977577468528765,0.32511220965094123,0.0032940739350067303
grid_sensitivity,vertical leakage,Theis confined,3,2.5;5.0;10.0,605.0,28,0.05261902747631658,0.06419771787578982,0.03166785530789503,Hantush-Jacob analytical,0.1358595882303595,0.32421900098374556,0.0029183943040841397
grid_sensitivity,vertical leakage,Hantush-Jacob leaky,3,2.5;5.0;10.0,605.0,28,0.027469459438922844,0.0835239049768699,0.026037299681183596,Hantush-Jacob analytical,0.1358595882303595,0.32421900098374556,0.0029183943040841397
grid_sensitivity,vertical leakage,Lagging Darcy no-leakage,3,2.5;5.0;10.0,605.0,28,0.0033408265559066175,0.02465051578194971,0.030120033070819008,Hantush-Jacob analytical,0.1358595882303595,0.32421900098374556,0.0029183943040841397
grid_sensitivity,vertical leakage,Lagging Darcy with leakage,3,2.5;5.0;10.0,605.0,28,0.002904091189102606,0.019201343899554926,0.0012899138182006758,Hantush-Jacob analytical,0.1358595882303595,0.32421900098374556,0.0029183943040841397
domain_sensitivity,constant head boundary,Theis confined,3,5.0,405.0;605.0;1005.0,28,0.009537480130327014,0.0054892533088378645,0.046446734139026336,Theis no-boundary reference,0.1314891922006943,0.20558992649330232,0.0037358408895476584
domain_sensitivity,constant head boundary,Hantush-Jacob leaky,3,5.0,405.0;605.0;1005.0,28,0.009570954903821809,0.00539025536509162,0.04656755811949638,Theis no-boundary reference,0.1314891922006943,0.20558992649330232,0.0037358408895476584
domain_sensitivity,constant head boundary,Lagging Darcy no-leakage,3,5.0,405.0;605.0;1005.0,28,0.023194285826619684,0.007505176143772019,0.0034915474521263644,Theis no-boundary reference,0.1314891922006943,0.20558992649330232,0.0037358408895476584
domain_sensitivity,constant head boundary,Lagging Darcy with leakage,3,5.0,405.0;605.0;1005.0,28,0.004944272949343909,0.0012856367258858217,0.003491550684445462,Theis no-boundary reference,0.1314891922006943,0.20558992649330232,0.0037358408895476584
time_sensitivity,homogeneous confined,Theis confined,3,5.0,605.0,20;28;48,0.03918882251165821,0.020592111900846574,0.0470600920458101,Theis analytical,0.12957587377124313,0.22941956518993353,0.003479654159805413
time_sensitivity,homogeneous confined,Hantush-Jacob leaky,3,5.0,605.0,20;28;48,0.04784914737531375,0.02144083175664146,0.04706167385195355,Theis analytical,0.12957587377124313,0.22941956518993353,0.003479654159805413
time_sensitivity,homogeneous confined,Lagging Darcy no-leakage,3,5.0,605.0,20;28;48,0.014768870033668691,0.005816560683411252,0.003898857152588984,Theis analytical,0.12957587377124313,0.22941956518993353,0.003479654159805413
time_sensitivity,homogeneous confined,Lagging Darcy with leakage,3,5.0,605.0,20;28;48,0.014753578233099711,0.005813950322744678,0.0038989383232084724,Theis analytical,0.12957587377124313,0.22941956518993353,0.003479654159805413
