scenario_class,pathway,scenario_count,fit_count,mu_lnM_T,sigma_lnM_T,cov_M_T,cov_M_T_ci_low,cov_M_T_ci_high,median_M_T,bias_factor_T,mu_lnM_S,sigma_lnM_S,cov_M_S,cov_M_S_ci_low,cov_M_S_ci_high,median_M_S,bias_factor_S,cov_M_response_time,cov_M_response_time_ci_low,cov_M_response_time_ci_high,median_M_response_time,bias_factor_response_time,median_response_cov,support_target_spread_median,boundary_hit_fraction
homogeneous confined,Theis confined,10,40,0.19589093885695238,0.05132321151772243,0.05135702733092725,0.046570030300285135,0.054998932356638414,1.2325908064142728,1.2163942367540972,0.03245196885260222,0.038525247528913585,0.03853954669195774,0.03120283040929896,0.04558347381992962,1.0435558425576363,1.0329842765323651,0.03193256225663997,0.02505370671903471,0.03628871419539924,0.8394756766049372,0.8492183252107846,0.04246186583552207,0.0,0.0
homogeneous confined,Hantush-Jacob leaky,10,40,0.18887847048098844,0.06025397041898209,0.060308700432725564,0.054603535336945924,0.06427561297276368,1.2269941527345858,1.2078941487676735,0.029151299758714555,0.042987499897831606,0.04300736696604171,0.03523567955400032,0.05049257590264514,1.0433674387485903,1.0295803579510807,0.033477515323562836,0.027427962033464218,0.037048090444651856,0.8400167430665851,0.8523763104585669,0.04254493136993162,0.0,1.0
homogeneous confined,Lagging Darcy no-leakage,10,40,0.047293829335214234,0.020318360756182423,0.020320457973149967,0.018772271532617076,0.021500725549365766,1.0535112143824918,1.0484300233224009,0.03853749230083845,0.009440787054408078,0.00944099741901384,0.007417361889043004,0.010758188746515528,1.0388008088136476,1.0392896929893705,0.024814520921963765,0.019000496467218655,0.028345823010958664,0.9817542696839973,0.9912818880328651,0.0034352635888199507,0.0,0.0
homogeneous confined,Lagging Darcy with leakage,10,40,0.047294313163031065,0.020315706714022993,0.02031780310922136,0.01876845423512731,0.021500471855106253,1.0535114331406874,1.0484305305821329,0.03853421077148966,0.009440313576762812,0.009440523909719778,0.007416848287655045,0.01075847428487954,1.0388001485875817,1.0392862825353368,0.024811849209936076,0.018995571100826954,0.02834416763507386,0.9817519244305409,0.991278155509532,0.003435588432898748,0.0,0.1
vertical leakage,Theis confined,10,40,0.8935412766172044,0.7717560154762925,0.9022928676925276,0.46417633094228056,1.2403697403675988,1.8050801110763397,2.4437684060660363,0.520420691091245,0.5528470911293298,0.5979075125224955,0.3261931337359432,0.7926943624491773,1.3599617883460344,1.68273541261068,0.22687226052812817,0.12343528014392224,0.2776516497222683,0.7543687355818856,0.6885821947913375,0.06164735848235954,0.0,0.0
vertical leakage,Hantush-Jacob leaky,10,40,0.5466175427360532,0.3108599581100075,0.31852326649944873,0.21713236889429777,0.3905422721751231,1.5607580785498072,1.7274002675259224,0.2946305604237671,0.25071068419732945,0.25470242178719077,0.1634584799508936,0.3221814909444124,1.2252514252201523,1.3426302463009139,0.06979994959025422,0.05413689442894409,0.07916962149033048,0.7677717917206035,0.77725485606408,0.024109417726262843,0.0,0.425
vertical leakage,Lagging Darcy no-leakage,10,40,1.2231412180372723,1.2188795545649787,1.8487598019142388,0.9786551468752549,2.5254728601274667,1.7191680117781096,3.397844357452681,0.05768874287939625,0.5221224532095934,0.5598127914578818,0.33711808399497856,0.7092201026682595,1.155348943204659,1.0593852031998583,2.145401234421385,1.2381868520696486,2.360805797937285,0.785738379539495,0.3117815567026341,0.01645653711300533,0.0,0.1
vertical leakage,Lagging Darcy with leakage,10,40,0.26300931232731545,0.25590710513553067,0.26015457280774296,0.13606182599255692,0.3406566168310131,1.1980084903831156,1.3008388327323155,0.18061019834062142,0.18356394707327855,0.18512118725248575,0.08567243739806255,0.24813017365155116,1.107539342799731,1.197948126102655,0.07762740460525508,0.05458772831390407,0.09029960570261714,0.924483717511507,0.9209043395379378,0.0009634406219573273,0.0,0.0
constant head boundary,Theis confined,10,40,0.19817059382530763,0.05368430352159422,0.053723006355888996,0.05056072459555832,0.056131557021482384,1.2330029072506528,1.2191703590175957,0.033865980121021017,0.039765317671407785,0.039781042881587014,0.03154563849784435,0.04806726476763853,1.0436266482564207,1.0344459611151724,0.03248809320441144,0.025193824302759092,0.03697608576312014,0.839381518100362,0.8484835228021178,0.04216824274223169,0.0,0.0
constant head boundary,Hantush-Jacob leaky,10,40,0.19115906980895975,0.06252341523167038,0.0625845688057783,0.05867375406967031,0.06550445659212169,1.2283255993331352,1.210652014950159,0.03056505226218432,0.04420602879873912,0.04422763415047529,0.035586981557948316,0.05293285388863814,1.04343823296099,1.0310369591538473,0.03409837791101867,0.02780426797506652,0.03775846694686651,0.8399560090042202,0.8516377509158102,0.04225129828268466,0.0,1.0
