well,n_points,aic_darcy,aic_lagging,delta_aic_lagging_minus_darcy,bic_darcy,bic_lagging,delta_bic_lagging_minus_darcy
MW-01,35,-307.68143340580343,-295.5200948169137,12.161338588889748,-304.5707372828246,-289.29870257095604,15.27203471186857
MW-02,32,-242.39769567237175,-336.85651826254787,-94.45882259017611,-239.4662238667723,-330.993574651349,-91.52735078457667
MW-03,31,-233.24429952981066,-305.1197089214911,-71.87540939168045,-230.37632512084036,-299.3837601035505,-69.00743498271015
MW-04,29,-209.0772993625716,-281.64380089199733,-72.56650152942572,-206.34270770259866,-276.17461757205143,-69.83190986945277
MW-05,28,-202.81194153966206,-307.27630064589266,-104.4643591062306,-200.14753251931165,-301.94748260519185,-101.7999500858802
MW-06,27,-225.13922779169044,-282.4460843631264,-57.30685657143593,-222.54755405968177,-277.2627368991091,-54.715182839427314
MW-07,35,-369.63996457592253,-346.9248414470269,22.71512312889564,-366.5292684529437,-340.70344920106925,25.825819251874464
MW-08,43,-175.2692599009568,-155.44453732961955,19.824722571337247,-171.74685966956966,-148.3997368668453,23.347122802724357
MW-10,47,-187.8684856013514,-354.9174314838899,-167.0489458825385,-184.16819039793128,-347.51684107704966,-163.34865067911838
MW-11,39,-161.67122573416754,-154.278502915989,7.392722818178527,-158.34410244190823,-147.62425633147043,10.7198461104378
MW-12,44,-283.254889326539,-252.33745446606906,30.91743486046994,-279.6865100587025,-245.20069593039602,34.48581412830646
MW-13,30,-215.20631331992365,-312.5827836905292,-97.37647037060555,-212.40391855659934,-306.97799416388057,-94.57407560728123
