case,model,n,mean_log_model_factor,median_log_model_factor,sd_log_model_factor,geometric_mean_model_factor,cov_equivalent,q05_log_model_factor,q95_log_model_factor,central_90_width_log,phase
Primary fractured-bedrock case,Darcy,135,-0.06426083387824753,-0.105549532114351,0.2839224350001191,0.9377603679543747,0.28974158675297457,-0.3925064784043954,0.4760694966603419,0.8685759750647373,early
Primary fractured-bedrock case,Lagging Darcy,135,0.0014785385040989322,-0.0176268621525103,0.08216296394715328,1.0014796320810517,0.08230182462636607,-0.11327046610005354,0.1413367470860813,0.25460721318613483,early
Primary fractured-bedrock case,Darcy,144,0.08359094876674095,0.0911871585932125,0.12098953850187977,1.0871840888486963,0.12143366718012837,-0.1099756843327803,0.30359730014249997,0.41357298447528024,late
Primary fractured-bedrock case,Lagging Darcy,144,-0.014744712577160127,-0.00014414821433234997,0.05525806679050601,0.9853634583947588,0.055300275626807734,-0.12665532609010885,0.05368782503776411,0.18034315112787297,late
Primary fractured-bedrock case,Darcy,141,0.006159009281772389,0.0205672788255101,0.0731024006441037,1.0061780149781576,0.07320017355735649,-0.1287914132436147,0.1116990726673832,0.24049048591099792,middle
Primary fractured-bedrock case,Lagging Darcy,141,0.02286648001281056,0.0233707936510914,0.03478940166799409,1.0231299221327463,0.03479993074735244,-0.0364150108639422,0.0844871963977774,0.1209022072617196,middle
Lovelock Valley field-scale case,Darcy,172,0.011106002342401498,-0.033413191168413195,0.28590278393311686,1.0111679029301996,0.29184595952822234,-0.346964084624791,0.44936132898376413,0.7963254136085551,early
Lovelock Valley field-scale case,Darcy,176,0.1001404670815098,0.05322937256133295,0.1969949490349838,1.105326169112654,0.19892168722792025,-0.09087372016431236,0.38752328803026964,0.478397008194582,late
Lovelock Valley field-scale case,Darcy,172,0.0034320827227695572,0.0385630458785702,0.2407872044146674,1.003437979062323,0.24431984890314473,-0.37589471675772573,0.2892074005565444,0.6651021173142702,middle
Lovelock Valley field-scale case,Lagging Darcy,172,0.010914756535263866,0.00622703136603385,0.1144276747979098,1.0109745397989855,0.11480326878419067,-0.16784442576548583,0.18733657221846658,0.3551809979839524,early
Lovelock Valley field-scale case,Lagging Darcy,176,-0.0030906987784612722,0.0029415118311656,0.1635296190626973,0.9969140725141997,0.16462900912333084,-0.20575518812037338,0.27285583634308735,0.4786110244634607,late
Lovelock Valley field-scale case,Lagging Darcy,172,-0.0025492493582085682,0.00342077093310195,0.2268904143920258,0.9974539972185728,0.22984201221053333,-0.3595453489167311,0.3587079797014851,0.7182533286182162,middle
