case,model,n,mean_log_model_factor,median_log_model_factor,sd_log_model_factor,geometric_mean_model_factor,cov_equivalent,q05_log_model_factor,q95_log_model_factor,central_90_width_log,well
Primary fractured-bedrock case,Darcy,35,-0.00028816446788305716,0.0111881125584548,0.08546017992765506,0.9997118770475094,0.08561645598262745,-0.12630749699751426,0.10426377104990511,0.23057126804741937,MW-01
Primary fractured-bedrock case,Lagging Darcy,35,-0.0012444571212125218,0.0233707936510914,0.05688840407786633,0.998756316894441,0.056934461976174286,-0.09620210590857371,0.0599030261678017,0.1561051320763754,MW-01
Primary fractured-bedrock case,Darcy,32,0.011175994861609185,0.0211563680064981,0.1957254338442918,1.0112386795959574,0.19761496456878547,-0.24145940614345882,0.18404566002046185,0.4255050661639207,MW-02
Primary fractured-bedrock case,Lagging Darcy,32,0.0011121712852365504,0.0078050720772234,0.04692512303496348,1.0011127899770629,0.04695096678419798,-0.0725986872868539,0.040676349387574535,0.11327503667442843,MW-02
Primary fractured-bedrock case,Darcy,31,0.009596031921729652,-0.018111332251644,0.20632973255995965,1.0096422214632663,0.20854529908243374,-0.2533748604681165,0.17922909774123405,0.4326039582093506,MW-03
Primary fractured-bedrock case,Lagging Darcy,31,-0.004254327246371576,-0.0030244015114951,0.04909957547343619,0.9957547095840347,0.0491291822663284,-0.07382900215693819,0.04176525301358755,0.11559425517052574,MW-03
Primary fractured-bedrock case,Darcy,29,0.03895532921254337,0.0205672788255101,0.31117651329538826,1.0397240373212837,0.3188635747842176,-0.35719443415185165,0.303596672296216,0.6607911064480676,MW-04
Primary fractured-bedrock case,Lagging Darcy,29,-0.0015558097431452355,0.0007297972970293,0.08632860439951448,0.9984453999014262,0.08648969815210729,-0.11240040197820521,0.0995962397490708,0.211996641727276,MW-04
Primary fractured-bedrock case,Darcy,28,-0.0014520704383645824,-0.006730473633,0.20550673612950338,0.9985489833058158,0.20769574110242686,-0.27046445770195676,0.21137453743727433,0.4818389951392311,MW-05
Primary fractured-bedrock case,Lagging Darcy,28,-0.007064195180508078,-0.0023576184925673,0.03734822221960024,0.9929606975959657,0.037361250167888466,-0.05944208805788059,0.030302986507052564,0.08974507456493316,MW-05
Primary fractured-bedrock case,Darcy,27,-0.003975259702692124,0.0239519029221138,0.13438449684188564,0.9960326311825908,0.13499350460635748,-0.20440428456731174,0.10092746508555567,0.3053317496528674,MW-06
Primary fractured-bedrock case,Lagging Darcy,27,-0.007631337841226833,-0.0098709473433408,0.052267591295413605,0.9923977068870568,0.0523033090933539,-0.08212866825693478,0.054531603664976454,0.13666027192191124,MW-06
Primary fractured-bedrock case,Darcy,35,-0.004255706150854609,0.0061982819248617,0.06738017381866228,0.9957533365343483,0.06745672418144776,-0.1193946388920842,0.09317544138542602,0.21257008027751023,MW-07
Primary fractured-bedrock case,Lagging Darcy,35,-0.011196075478808697,0.0007368115784683,0.0653135196979554,0.9888663673188992,0.06538323615605182,-0.13579233258616308,0.08107282307419178,0.21686515566035486,MW-07
Primary fractured-bedrock case,Darcy,43,0.008738745917391278,0.019876019892266,0.06613479181738949,1.0087770402242886,0.06620717301991096,-0.10497864663885811,0.11018788621312058,0.21516653285197868,MW-08
Primary fractured-bedrock case,Lagging Darcy,43,0.013396418760243308,0.0260799754506185,0.08103901976472473,1.0134865528195147,0.08117225433439011,-0.12108524243099757,0.13844076849027961,0.2595260109212772,MW-08
Primary fractured-bedrock case,Darcy,47,0.007909798094220431,0.0847681399829314,0.3345697244406798,1.0079411631898187,0.34415444975072534,-0.6035277603114507,0.3196244748749241,0.9231522351863748,MW-10
Primary fractured-bedrock case,Lagging Darcy,47,0.0029596189111021957,0.0121175802563073,0.05390235371472542,1.0029640029070706,0.05394153025796275,-0.0940637699518072,0.06306578581266457,0.15712955576447177,MW-10
Primary fractured-bedrock case,Darcy,39,0.011002623492743339,0.0195360644927481,0.0814688914206829,1.0110633749586675,0.08160425945746294,-0.13162181773530246,0.11404696201554888,0.24566877975085133,MW-11
Primary fractured-bedrock case,Lagging Darcy,39,0.01813446122803316,0.0252370291475579,0.08349561975660232,1.0182998890384523,0.0836413541499224,-0.13469939398801956,0.1224393999694128,0.25713879395743233,MW-11
Primary fractured-bedrock case,Darcy,44,0.00865269793443079,0.01983229289215805,0.056315655867423146,1.0086902407292346,0.05636033599827519,-0.11118992095520598,0.06253609178244679,0.17372601273765276,MW-12
Primary fractured-bedrock case,Lagging Darcy,44,0.014729148937892766,0.0277730371418136,0.05270203247695124,1.014838157395146,0.052738648690866856,-0.07758799337775334,0.07942914906204476,0.15701714243979809,MW-12
Primary fractured-bedrock case,Darcy,30,0.03983896103209659,0.012843380214212349,0.27472626033441444,1.040643176594764,0.27999240670778563,-0.290352526878532,0.49396275610840923,0.7843152829869413,MW-13
Primary fractured-bedrock case,Lagging Darcy,30,0.007024616863500003,0.00696286597155925,0.04881375725623666,1.0070493473580417,0.04884284984265847,-0.07139515743389689,0.060840319532221326,0.1322354769661182,MW-13
Lovelock Valley field-scale case,Darcy,49,0.018697300954410936,0.0197990112132813,0.06983836293257105,1.0188731899925105,0.06992360688073854,-0.08851840511417454,0.10683593928794678,0.19535434440212132,FETH
Lovelock Valley field-scale case,Darcy,49,0.13207268894206764,0.1886051060759356,0.3979573812271455,1.141191268238447,0.4142459377098848,-0.3602324772588836,0.3934258881761119,0.7536583654349955,LEID
Lovelock Valley field-scale case,Darcy,69,0.06872696339754772,0.0381174913656434,0.44517968437714295,1.071143707779663,0.4681750350573648,-0.472022018129863,0.6893699145346636,1.1613919326645266,MD
Lovelock Valley field-scale case,Darcy,49,0.02228633672358704,-0.0021546885158492,0.06907537643179644,1.02253653231662,0.06915785509085068,-0.04584647011540856,0.1561273191847446,0.20197378930015314,MOIR
Lovelock Valley field-scale case,Darcy,69,0.022851005352901976,0.0595056289333553,0.24363959493677942,1.0231140896676605,0.2473003360681639,-0.37716102038899374,0.34885903203831564,0.7260200524273094,WD
Lovelock Valley field-scale case,Darcy,69,0.02018579607617305,0.0383876432774896,0.2146012498524513,1.0203909070424977,0.21709591574444143,-0.4449003128465914,0.33680741373305,0.7817077265796414,WS
Lovelock Valley field-scale case,Darcy,166,0.023697669036957594,0.034548394951626704,0.12015766248187978,1.0239806900197832,0.12059267484069895,-0.0898197656399169,0.08781176673404553,0.17763153237396243,WWBN
Lovelock Valley field-scale case,Lagging Darcy,49,0.00798934879577306,0.0018363034933521,0.06583317015766559,1.008021348805843,0.0659045649484424,-0.09938883841622362,0.11396101937193791,0.2133498577881615,FETH
Lovelock Valley field-scale case,Lagging Darcy,49,0.0004956355113368412,0.0067069227982442,0.03202825269509891,1.000495758358912,0.0320364681679564,-0.0418948552349431,0.042947816183214055,0.08484267141815716,LEID
Lovelock Valley field-scale case,Lagging Darcy,69,0.00327226388609261,0.027691880038041,0.36166939329764686,1.0032776235860859,0.3738251254069976,-0.3882095802148559,0.4420846404357381,0.830294220650594,MD
Lovelock Valley field-scale case,Lagging Darcy,49,0.0027958682287038718,0.004707568096776,0.04497089336992145,1.0027997803133215,0.04499364002551813,-0.06683271366507344,0.06652365249198372,0.13335636615705715,MOIR
Lovelock Valley field-scale case,Lagging Darcy,69,-0.0004098605072183018,0.0326301618722766,0.22753717322670403,0.9995902234741254,0.23051426709782788,-0.36183902201131035,0.2899498027889086,0.6517888248002189,WD
Lovelock Valley field-scale case,Lagging Darcy,69,-0.0006442596204846593,-6.15979298608238e-05,0.2046802236747026,0.999355947870183,0.20684276999704873,-0.4377124108996267,0.2807164550385507,0.7184288659381775,WS
Lovelock Valley field-scale case,Lagging Darcy,166,0.0011390997340997946,0.00345277488252815,0.02720862747387864,1.0011397487546116,0.027213663951359667,-0.034419460269345024,0.031850478543919175,0.0662699388132642,WWBN
