family,truth_model,pathway,scenario_count,median_abs_delta_logT,median_abs_delta_logS,median_sd_epsilon,class_A_count,class_B_count,class_C_count,class_D_count,boundary_hit_count,worst_class
lagging_darcy_truth,Lagging Darcy truth,Theis schedule-aware,12,1.1453950658159693,0.919194418078341,0.4197186077103846,0,0,0,12,0,D
lagging_darcy_truth,Lagging Darcy truth,Theis fixed-rate,12,1.1453950658159693,0.919194418078341,0.4197186077103846,0,0,0,12,0,D
lagging_darcy_truth,Lagging Darcy truth,Hantush-Jacob leaky,12,1.096831022113811,0.926054347641447,0.43823009048811723,0,0,0,12,12,D
lagging_darcy_truth,Lagging Darcy truth,Cooper-Jacob late-time,12,0.2761242245552187,0.41216623337749486,0.9612447953750745,0,0,12,0,0,C
lagging_darcy_truth,Lagging Darcy truth,Lagging Darcy no-leakage,12,0.07028545754366711,0.058376609655078834,0.2854704057730779,0,9,3,0,0,C
lagging_darcy_truth,Lagging Darcy truth,Lagging Darcy with leakage,12,0.3742368354414271,0.06389716163706047,0.2748589398477864,0,3,5,4,2,D
lagging_leaky_truth,Lagging Darcy leaky truth,Theis schedule-aware,12,1.3611848221117204,0.8323218556013916,0.3644610626601509,0,0,0,12,0,D
lagging_leaky_truth,Lagging Darcy leaky truth,Theis fixed-rate,12,1.3611848221117204,0.8323218556013916,0.3644610626601509,0,0,0,12,0,D
lagging_leaky_truth,Lagging Darcy leaky truth,Hantush-Jacob leaky,12,1.306882751644988,0.8391288977732414,0.37999689793211516,0,0,0,12,12,D
lagging_leaky_truth,Lagging Darcy leaky truth,Cooper-Jacob late-time,12,0.7856008799756231,0.3986074600012639,0.7262994958911018,0,0,12,0,0,C
lagging_leaky_truth,Lagging Darcy leaky truth,Lagging Darcy no-leakage,12,0.5285125741742157,0.0681379645159379,0.2946206091928809,0,0,12,0,0,C
lagging_leaky_truth,Lagging Darcy leaky truth,Lagging Darcy with leakage,12,0.5830213691185095,0.07482539494876828,0.2756975127439082,0,2,5,5,0,D
leaky_clean,Hantush-Jacob clean leaky truth,Theis schedule-aware,1,0.27231674910446996,0.18086894684506774,0.0681599514495196,0,0,1,0,0,C
leaky_clean,Hantush-Jacob clean leaky truth,Theis fixed-rate,1,0.27231674910446996,0.18086894684506774,0.0681599514495196,0,0,1,0,0,C
leaky_clean,Hantush-Jacob clean leaky truth,Hantush-Jacob leaky,1,8.881784197001248e-16,2.2204460492503128e-16,6.2212391032871235e-16,1,0,0,0,0,A
leaky_clean,Hantush-Jacob clean leaky truth,Cooper-Jacob late-time,1,0.7071354183266563,0.2564908136508588,0.60165610856707,0,0,1,0,0,C
leaky_clean,Hantush-Jacob clean leaky truth,Lagging Darcy no-leakage,1,0.2650983711668367,0.19379688243326001,0.07248056794626288,0,0,1,0,0,C
leaky_clean,Hantush-Jacob clean leaky truth,Lagging Darcy with leakage,1,0.12693690464345683,0.023341803732958633,0.013700316710671475,0,1,0,0,0,B
leaky_truth,Hantush-Jacob leaky truth,Theis schedule-aware,12,0.4291105112488668,0.1894311316834732,0.6164279700464441,0,0,12,0,0,C
