scenario_id,family,split,truth_model,truth_T_m2_s,truth_S,truth_delay_s,truth_tau_q_s,truth_tau_s_s,truth_leakage_B_m,pathway,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,delta_logT,delta_logS,sd_epsilon,bias_eta,rmse_m,aic,bic,parameter_count,boundary_hit,reliability_class
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,5.000000000000004e-05,0.0010000000000000002,,,,8.881784197001248e-16,2.2204460492503128e-16,5.4622153405382e-16,-4.625929269271499e-17,9.266463474563715e-17,-2171.251168870434,-2167.508766848618,2,False,A
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,5.000000000000004e-05,0.0010000000000000002,,,,8.881784197001248e-16,2.2204460492503128e-16,5.4622153405382e-16,-4.625929269271499e-17,9.266463474563715e-17,-2171.251168870434,-2167.508766848618,2,False,A
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,4.996536006178601e-05,0.0009995932359076099,,,99999.99899222057,-0.0006930388602422785,-0.00040684684334442266,0.0005915605405811481,1.9961994532758364e-05,0.00023533799811473378,-708.4984422960325,-702.8848392633089,3,True,C
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,6.272796530692989e-05,0.0007133672969439928,,,,0.22678436042880495,-0.3377588482294828,0.4291996465312825,-0.4213479534940155,0.021503456871029197,-45.31891596556886,-41.57651394375308,2,False,C
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,4.794966672497175e-05,0.0010179155067931687,13.243408724697073,42.5836913870811,,-0.04187115459268138,0.01775691546284914,0.018273802640683328,-0.002559828929042308,0.0024589439534266084,-376.2776664488746,-368.792862405243,4,False,A
theis_clean_00,theis_clean,verification,Theis homogeneous truth,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,4.495061544382751e-05,0.000985575952727165,25.47500301210713,59.91848756162619,80.55525550827404,-0.10645855286170039,-0.014529085113392988,0.014611272137192021,-0.0023852259006855252,0.0017879099962651835,-395.414001030633,-386.05799597609354,5,False,B
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Theis fixed-rate,6.565014139605945e-05,0.0011982581334939331,,,,0.27231674910446996,0.18086894684506774,0.0681599514495196,-0.004890694475732,0.015672297774881945,-254.6050562086641,-250.86265418684832,2,False,C
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Theis schedule-aware,6.565014139605945e-05,0.0011982581334939331,,,,0.27231674910446996,0.18086894684506774,0.0681599514495196,-0.004890694475732,0.015672297774881945,-254.6050562086641,-250.86265418684832,2,False,C
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Hantush-Jacob leaky,5.000000000000004e-05,0.0010000000000000002,,,34.99999999999999,8.881784197001248e-16,2.2204460492503128e-16,6.2212391032871235e-16,4.857225732735041e-17,1.0247547538209171e-16,-2169.251168870434,-2163.63756583771,3,False,A
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Cooper-Jacob late-time,0.00010140865309459903,0.0007737621025756504,,,,0.7071354183266563,-0.2564908136508588,0.60165610856707,-0.53662135583422,0.015532420027665078,-17.24128875060911,-13.49888672879333,2,False,C
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Lagging Darcy no-leakage,6.517796010555654e-05,0.0012138497037165862,0.00022825575052637427,16.562345265561444,,0.2650983711668367,0.19379688243326001,0.07248056794626288,0.0018257539580416964,0.01566236988248745,-244.92540003258574,-237.4405959889542,4,False,C
leaky_clean_00,leaky_clean,holdout,Hantush-Jacob clean leaky truth,5e-05,0.001,0.0,0.0,0.0,35.0,Lagging Darcy with leakage,4.403946222776984e-05,0.0009769285088884257,25.292470270244536,61.253576756941584,30.08602220708462,-0.12693690464345683,-0.023341803732958633,0.013700316710671475,-0.0021576462975126665,0.0012358460065334368,-401.68213420966686,-392.3261291551274,5,False,B
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,6.487785697104584e-05,0.0010356262412913098,,,,0.26048337317759696,0.03500630778945999,0.9688555080653883,0.2654198820101145,0.02683325622444478,3.496869359152004,7.239271380967786,2,False,C
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,6.487785697104584e-05,0.0010356262412913098,,,,0.26048337317759696,0.03500630778945999,0.9688555080653883,0.2654198820101145,0.02683325622444478,3.496869359152004,7.239271380967786,2,False,C
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,6.474325421605004e-05,0.0010347855418195372,,,99999.99999999984,0.25840650773267526,0.03419419927574767,0.9688791693244609,0.26559605695634375,0.02696722569400986,5.503584308281501,11.117187341005176,3,True,C
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,6.200698997854608e-05,0.0007251754140958109,,,,0.21522411485154302,-0.321341702915778,1.0718814081453232,-0.09227838378598019,0.023768274200284576,10.015270993209683,13.757673015025464,2,False,C
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,3.11109693680968e-05,0.0012152384572156603,0.00010000000030228025,409.9234282678893,,-0.47446253563095464,0.19494031861867292,0.8379448369568597,0.01165151067149058,0.026412604571468518,-9.974175281753443,-2.489371238121878,4,True,C
theis_noise_00,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,8.874273606015489e-06,0.0006141797174385634,0.00010047078834168588,547.9451158309172,12.741568150746303,-1.7288665206258547,-0.48746769425176933,0.8319499122413198,0.011913591299893283,0.01441958422122011,-8.662884151855955,0.6931209026834999,5,False,D
theis_noise_01,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,5.3212208558803716e-05,0.001038442874808974,,,,0.062264848780023745,0.03772235541516823,0.4949104770772571,0.05793138722550064,0.012441765756064132,-63.8678698840296,-60.12546786221382,2,False,B
theis_noise_01,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,5.3212208558803716e-05,0.001038442874808974,,,,0.062264848780023745,0.03772235541516823,0.4949104770772571,0.05793138722550064,0.012441765756064132,-63.8678698840296,-60.12546786221382,2,False,B
theis_noise_01,theis_noise,calibration,Theis plus measurement noise,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,5.316583674614317e-05,0.0010379717081791214,,,99999.87193507134,0.06139301821639885,0.037268528282764446,0.49492965094188984,0.057974274503636326,0.012506497239544159,-61.86322098732143,-56.24961795459775,3,True,C
