well,phase,sd_epsilon_darcy,sd_epsilon_lagging,variance_ratio
MW-13,early,0.42944196261496,0.06544944384436892,0.023227526438784764
MW-13,middle,0.09773212484947937,0.039974286335648354,0.16729646168761972
MW-13,late,0.0971071496808439,0.023461741844764433,0.058373816712331945
MW-12,early,0.0825528066557301,0.05674503703525971,0.47248941251473936
MW-12,middle,0.015302344204562111,0.01948025623982402,1.620590905069983
MW-12,late,0.02842334712699021,0.036074313015944146,1.610815131555138
MW-10,early,0.3973303611441391,0.07092949372312973,0.03186766300634633
MW-10,middle,0.08114122143504941,0.012735697164711469,0.02463555583711635
MW-10,late,0.04544590511563207,0.015483384207315019,0.11607595524337617
MW-08,early,0.04117493003273749,0.047676943219427836,1.340760066748308
MW-08,middle,0.016834549460100507,0.020190435809495238,1.4384288689183662
MW-08,late,0.03142669818633017,0.03488036790047446,1.2318692219521232
MW-11,early,0.07876990375970096,0.0696062251252735,0.7808642387643403
MW-11,middle,0.03092528048166561,0.03266355868388828,1.1155773909988846
MW-11,late,0.05636074790206389,0.05778001579665414,1.0509978253887144
MW-05,early,0.26916813950458746,0.05228890592416259,0.03773738516236923
MW-05,middle,0.08271809654462732,0.025542574561814656,0.09535166375822961
MW-05,late,0.03208185721075671,0.020164869472838815,0.3950679758389131
MW-06,early,0.20161689592175064,0.07692890984767772,0.1455879088455654
MW-06,middle,0.04118960353355488,0.02058838825553183,0.24984431720466715
MW-06,late,0.02813215870497065,0.014384650877845316,0.2614523405833655
MW-07,early,0.08799348467534668,0.07563791652930582,0.7388870952023477
MW-07,middle,0.04083905466220846,0.037482193852010716,0.8423617609599895
MW-07,late,0.06356446064571182,0.0725408909977327,1.3023779615209898
MW-03,early,0.2934486867120242,0.07062991141505462,0.05793126109066061
MW-03,middle,0.07889635165895068,0.02551798021631483,0.10461133657080379
MW-03,late,0.026129858514066937,0.040730932497497964,2.429822725856183
MW-04,early,0.5039103518001743,0.12856624323778382,0.0650949574359085
MW-04,middle,0.07842497087373837,0.051976980566254626,0.4392516097854177
MW-04,late,0.029791294632128196,0.038801841792364615,1.6963908756771673
MW-02,early,0.2809636494586043,0.07237208294117158,0.06635014461517146
MW-02,middle,0.07968019620922659,0.029204166746384912,0.13433489778879207
MW-02,late,0.031626225550263655,0.02612076617320431,0.6821456204858954
MW-01,early,0.11389870969030454,0.04730771704498327,0.17251480546737685
MW-01,middle,0.05325677876814706,0.03202480803196269,0.36159571968009996
MW-01,late,0.06514828629669764,0.07629121441900143,1.3713334317672534
