well,S_darcy,T_darcy_m2s,S_lagging,T_lagging_m2s,tau_q_lagging_s,tau_s_lagging_s,tau_q_lagging_h,tau_s_lagging_h
MW-13,0.0008407248659553869,8.419079036159577e-05,0.000845523577460943,3.147033813035126e-05,250.2644447582678,1255.193701492417,0.06951790132174106,0.34866491708122693
MW-12,0.00016287119630158597,2.5155735059865913e-05,1.7762601038126838e-05,4.357176773310964e-05,29957.646909868785,2514.130028770348,8.321568586074662,0.6983694524362077
MW-10,0.0027610623722399584,3.0272414158022866e-05,0.003549141352664677,1.0796974668976063e-05,126.1589238938555,935.9946015484111,0.03504414552607097,0.2599985004301142
MW-08,0.00015483462330680893,2.41603564618921e-05,0.9999999998243113,1.421430537460253e-05,11407.303644699336,39778705.99139657,3.1686954568609265,11049.640553165713
MW-11,0.0002002484064627775,1.799479925924694e-05,0.9999999999827839,1.2755123526319455e-05,18278.953411647333,92884508.01350494,5.0774870587909255,25801.252225973592
MW-05,0.0025057890466860583,8.165611228054258e-05,0.002932041371997658,4.058733351478732e-05,291.0310866882028,1036.922181671863,0.08084196852450078,0.28803393935329524
MW-06,0.002280237492046689,6.810713184505242e-05,0.002544199728578222,4.727275038752252e-05,0.00010314002931912642,372.07218605179804,2.8650008144201785e-08,0.10335338501438834
MW-07,0.009624701045862622,3.60855674620053e-05,0.0008679932397104586,0.00013835596335306634,295933.96023938793,9243.633805405158,82.20387784427443,2.567676057056988
MW-03,0.0023401822985449055,7.367385281859069e-05,0.002501081344462571,4.315654176665137e-05,157.53227968266023,599.8390488918401,0.04375896657851673,0.16662195802551114
MW-04,0.0024569174520383892,7.653354941054875e-05,0.0025236123071849478,3.571270920790485e-05,0.00010000000020900677,565.8652927199745,2.7777777835835212e-08,0.15718480353332626
MW-02,0.001279559430569783,6.996603173433368e-05,0.001344276235898333,4.121779800730547e-05,155.6570373529565,562.7865192366289,0.04323806593137681,0.15632958867684138
MW-01,0.001235932729294448,5.665972741251233e-05,3.1346894118170996e-05,0.0001315330394323378,462978.6742357547,6693.321688737469,128.60518728770964,1.859256024649297
