well,S_darcy,T_darcy_m2s,S_lagging,T_lagging_m2s,tau_q_lagging_s,tau_s_lagging_s,tau_q_lagging_h,tau_s_lagging_h
MW-13,0.0008370666752321527,8.245066148198296e-05,0.0008742923489341112,3.51123788961532e-05,330.9945713280311,1335.5635868074203,0.09194293648000863,0.3709898852242834
MW-12,0.00016511113823899988,2.5266305986113605e-05,0.00022211857976299376,2.1035155419498778e-05,744.7424644240206,1246.607292753352,0.20687290678445017,0.3462798035425978
MW-10,0.0027575586336125073,3.0393028529071753e-05,0.0035903133867812064,1.2238693771099606e-05,235.0692323331452,1040.8622495047573,0.06529700898142922,0.28912840264021034
MW-08,0.0002184716194908257,2.2008794589830666e-05,0.00032081304000914,1.9593083039162986e-05,878.4725873559078,1429.8780127294588,0.24402016315441882,0.3971883368692941
MW-11,0.00020256033937399406,1.819119249440292e-05,0.0002151691966907022,1.7700053693521654e-05,982.0304801347924,1022.445807415356,0.27278624448188676,0.2840127242820433
MW-05,0.0024876926791431984,8.030749823482357e-05,0.0029389732938816964,4.155667695892961e-05,459.0691613006662,1283.0771468278613,0.12751921147240727,0.3564103185632948
MW-06,0.0022671958786624966,6.726724081912121e-05,0.002581046553547604,4.6422463653768615e-05,582.8233052711944,1138.662380079141,0.16189536257533177,0.31629510557753915
MW-07,0.009535476036799502,3.560800866960986e-05,0.009034667281138853,3.067735512750697e-05,887.9004126597315,1118.3576174814486,0.24663900351659207,0.31065489374484684
MW-03,0.002326037538587339,7.27364616635325e-05,0.002544835027476938,4.072568778870733e-05,462.5621206898106,1128.4940263099977,0.12848947796939184,0.31347056286388825
MW-04,0.0024410689064844272,7.487696477018114e-05,0.0025698799133907846,3.4138704301012955e-05,275.09431985702207,1059.3378572661752,0.0764150888491728,0.29426051590727087
MW-02,0.0012752442322947674,6.930860796683126e-05,0.0013767656060996226,3.905574957938114e-05,478.61994040363857,1117.1686475122854,0.13294998344545517,0.3103246243089682
MW-01,0.0012337318305821472,5.642885001682139e-05,0.0012956488474830908,4.7383423392671675e-05,796.3678708405918,1143.286954437682,0.22121329745571994,0.31757970956602277
