well,S_darcy,T_darcy_m2s,S_lagging,T_lagging_m2s,tau_q_lagging_s,tau_s_lagging_s,tau_q_lagging_h,tau_s_lagging_h
MW-13,0.0008082712370461903,4.005359982085303e-05,0.0008368944298903549,3.5181792789242526e-05,0.05772659781922899,684.8998510719831,1.603516606089694e-05,0.19024995863110641
MW-12,0.00016139194952743003,2.505611000599535e-05,0.9999999999999947,1.609533214914707e-05,27223.958619687055,140684953.40045747,7.562210727690848,39079.1537223493
MW-10,0.0033712544837955216,1.2567369838596946e-05,0.003504431782066704,1.1358017641051941e-05,0.00010000000000697194,631.1601348883115,2.777777777971443e-08,0.17532225969119763
MW-08,8.297663599574527e-05,2.8178015847669623e-05,0.9999999997707036,1.29537303518964e-05,9864.720543048512,31732803.786765736,2.740200150846809,8814.667718546038
MW-11,0.0001345554760771862,2.1953594658159138e-05,0.9999999999999735,7.734768661968417e-06,8988.570595284213,43574491.75871226,2.496825165356726,12104.025488531184
MW-05,0.0027383443774198217,4.745103201144341e-05,0.0028573862931510195,4.3631523262119706e-05,0.6143505811782564,501.72936352681563,0.00017065293921618232,0.13936926764633767
MW-06,0.002417301894851771,5.236405838789543e-05,0.0024572777787624104,5.1173277644197603e-05,0.00034117979432713466,168.64374072175193,9.477216509087074e-08,0.04684548353381998
MW-07,0.009964706131769098,4.074800329591998e-05,1.0,1.1065042633429427e-05,29508.394361820607,7020733.646561598,8.196776211616836,1950.203790711555
MW-03,0.0024031068714819603,4.764874166891445e-05,0.0005990072906825234,0.00010137798995577191,45519.611712672966,6861.352708337784,12.644336586853601,1.9059313078716067
MW-04,0.0024234770455177513,4.415934626419906e-05,0.0003432016465496283,0.00010700185883246713,82993.92901749152,6653.475176798389,23.053869171525424,1.8481875491106636
MW-02,0.0013014175747232686,4.4728163801226444e-05,0.00022842187484139122,0.0001008805926197179,68916.34468856905,7391.346390377453,19.143429080158068,2.053151775104848
MW-01,0.0012075149787044161,5.545488992062169e-05,0.9999999999225601,2.5854650202377674e-05,33035.6858846256,35744793.75312662,9.176579412396,9929.109375868506
