objective,trend_model,excluded_well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,rmse_ratio_darcy_over_lagging,preferred
raw,log_distance,MW-13,0.10516553676688835,0.08187213754392152,0.08528225186997469,0.06528259756451972,1.284509479314263,Lagging Darcy
raw,log_distance,MW-12,0.7061043795274247,0.8574932331153081,0.680782360287515,0.8056154514672733,0.8234518387534308,Darcy
raw,log_distance,MW-10,0.5384330409580268,0.5631629094562358,0.5277483553165462,0.5036964586327214,0.9560875404204318,Darcy
raw,log_distance,MW-08,0.5296022861249225,1.2685384279487515,0.4593414466964415,1.2371513611121023,0.4174901401933078,Darcy
raw,log_distance,MW-11,0.8824971166931728,1.1897255300240128,0.8593595792203322,1.1300092297620488,0.7417653016787501,Darcy
raw,log_distance,MW-05,0.18595801791123334,0.12362527853229288,0.1682662658517187,0.10324231493421354,1.5042070692901062,Lagging Darcy
raw,log_distance,MW-06,0.18734501812315224,0.1277555639004145,0.16927508654966417,0.10668988621723641,1.4664333388187125,Lagging Darcy
raw,log_distance,MW-07,0.4136739491150014,0.14433386158463557,0.4068079956865168,0.14265249716895761,2.8660907743567035,Lagging Darcy
raw,log_distance,MW-03,0.1163164656770792,0.0784558698207554,0.10391723568394437,0.0697630933172855,1.4825718705665005,Lagging Darcy
raw,log_distance,MW-04,0.11069920197711441,0.07757988373138895,0.09891100357274195,0.068952669882945,1.426906005175222,Lagging Darcy
raw,log_distance,MW-02,0.04169172386939696,0.09812902119101086,0.037537170200903885,0.07815114602283821,0.4248663989855036,Darcy
raw,log_distance,MW-01,0.056444000273137604,0.03169343667639039,0.05084997652906489,0.026945217075626766,1.78093656580906,Lagging Darcy
raw,xy,MW-13,1.7188061450052456,0.10975259070451016,1.6969995762389836,0.08838565328931791,15.660734147340845,Lagging Darcy
raw,xy,MW-12,0.35462314038839254,0.9952016656111391,0.3461458297321334,0.9434669328131746,0.35633294501232926,Darcy
raw,xy,MW-10,1.278703394317597,0.7292005913478886,1.2699710583960173,0.6952512862348084,1.7535687840762464,Lagging Darcy
raw,xy,MW-08,0.735605233455962,0.9574684588457003,0.725967149593211,0.9196269210126871,0.7682814265681284,Darcy
raw,xy,MW-11,0.8311197617174604,1.190090313171655,0.8090386249646946,1.1319972367035471,0.6983669663712171,Darcy
raw,xy,MW-05,0.09503942848279999,0.12038070842437014,0.08608106194048662,0.1026518769316801,0.7894905232469955,Darcy
raw,xy,MW-06,0.09185621037461635,0.10756489765424304,0.08078565185465544,0.09382175445084588,0.8539608401792864,Darcy
raw,xy,MW-07,0.33599659599699055,0.14311175964972012,0.3292866322609395,0.14027618092429875,2.34779166170114,Lagging Darcy
raw,xy,MW-03,0.04310884119500296,0.08060019296104666,0.03754767772886422,0.07212345233413539,0.5348478658833618,Darcy
raw,xy,MW-04,0.042415468055715236,0.06905856119813636,0.03910285094571102,0.06222719848377795,0.6141956524987647,Darcy
raw,xy,MW-02,0.09139997201198631,0.08156872747144324,0.07836703648114954,0.06233350513189306,1.1205271290272971,Lagging Darcy
raw,xy,MW-01,0.11038055103108457,0.039683097847668616,0.09668257107845472,0.031131666932041537,2.7815507613544197,Lagging Darcy
