objective,well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,sd_epsilon_darcy,sd_epsilon_lagging,aic_darcy,aic_lagging,delta_aic_lagging_minus_darcy,bic_darcy,bic_lagging,delta_bic_lagging_minus_darcy
log_response,MW-13,0.026810512046159404,0.0034575126740565795,0.016941516544592215,0.002385610097846829,0.27418840944798717,0.0308093538505596,-213.1376736705918,-332.03234972568043,-118.89467605508864,-210.33527890726748,-326.4275601990318,-116.09228129176432
log_response,MW-12,0.036280555441601255,0.025268836255504693,0.03151512386233179,0.020782946072122367,0.056277475113596785,0.030440933392740885,-287.8496542716208,-315.68014017294763,-27.830485901326824,-284.2812750037843,-308.5433816372746,-24.262106633490305
log_response,MW-10,0.12923771155726638,0.010022802781286788,0.10172610492000511,0.00586486452453627,0.33454640940186375,0.013499783848053384,-188.33357343993097,-424.67189535232154,-236.33832191239057,-184.63327823651085,-417.2713049454813,-232.63802670897044
log_response,MW-08,0.10695753554126403,0.03148458707938787,0.0900221884607822,0.02683959216302958,0.06044069887767048,0.01948919727040435,-188.23781131570905,-289.41011506885695,-101.1723037531479,-184.71541108432191,-282.3653146060827,-97.64990352176076
log_response,MW-11,0.12128942835724767,0.050355168282057085,0.09630406918958033,0.04394336274666503,0.0814593284927814,0.04935614714468097,-160.5468983363693,-225.1150134019765,-64.5681150656072,-157.21977504411,-218.46076681745794,-61.24099177334793
log_response,MW-05,0.026188531394284276,0.003613801942896681,0.019785552248923706,0.0023884903813574873,0.2051735402857087,0.020073840421604757,-199.9762870370818,-306.88771389902905,-106.91142686194726,-197.31187801673138,-301.55889585832824,-104.24701784159686
log_response,MW-06,0.015540548358243905,0.004395198948332351,0.011971917852259518,0.003368418370474258,0.13422212020423538,0.029908553864495355,-220.87234297995374,-285.0710940225836,-64.19875104262988,-218.28066924794507,-279.8877465585663,-61.60707731062121
log_response,MW-07,0.004684040020896144,0.004044564108070269,0.0027633980792194563,0.0022835171184785712,0.06725353844632924,0.056805735905074456,-371.45160023786394,-377.72670464671853,-6.275104408854588,-368.3409041148851,-371.5053124007609,-3.1644082858757656
log_response,MW-03,0.02283357920108299,0.005795624781851827,0.017298078347799527,0.00356395974448338,0.2058459902111472,0.03290380410228726,-230.33042937958274,-311.3404236310957,-81.00999425151295,-227.46245497061244,-305.6044748131551,-78.14201984254265
log_response,MW-04,0.02681338593346064,0.006461507590601354,0.019472275962675097,0.004410595559831095,0.3103557650601875,0.053996938542353844,-205.89353437987805,-284.4297716848945,-78.53623730501644,-203.1589427199051,-278.9605883649486,-75.8016456450435
log_response,MW-02,0.02197066127193062,0.00407813054302564,0.01639838456130232,0.0026902237096656434,0.19546439729022505,0.029204510864605262,-240.3550268274978,-344.13546213188397,-103.78043530438617,-237.42355502189835,-338.2725185206851,-100.84896349878673
log_response,MW-01,0.01179560337379555,0.010230287470952129,0.008793365229461286,0.006773824973052334,0.085423379143088,0.050755568661682605,-306.8019888667751,-312.7681819045261,-5.9661930377509975,-303.6912927437963,-306.54678965856846,-2.855496914772175
