objective,model,well,objective_sse,success,nfev,boundary_hits,S,old_S,S_factor_refit_over_old,T,old_T,T_factor_refit_over_old,tau_q,old_tau_q,tau_q_factor_refit_over_old,tau_s,old_tau_s,tau_s_factor_refit_over_old
raw,Darcy,MW-13,0.0006047378034676124,True,13,,0.0008082712370461903,0.00069527,1.162528567385606,4.005359982085303e-05,3.6597e-05,1.0944503598888715,,,,,,
raw,Lagging Darcy,MW-13,0.00025691692436331185,True,26,,0.0008368944298903549,0.0001574,5.31699129536439,3.5181792789242526e-05,8.085e-05,0.4351489522478977,0.05772659781922899,100000.0,5.772659781922899e-07,684.8998510719831,13630.0,0.05024943881672657
raw,Darcy,MW-12,0.05645236651081269,True,14,,0.00016139194952743003,0.00054912,0.29391016449488283,2.505611000599535e-05,2.4928e-05,1.0051392011390947,,,,,,
raw,Lagging Darcy,MW-12,0.013242249996514077,True,38,S:upper,0.9999999999999947,3.276e-05,30525.030525030365,1.609533214914707e-05,4.056e-05,0.39682771570875425,27223.958619687055,12900.0,2.1103843891230274,140684953.40045747,1837.0,76584.07915103836
raw,Darcy,MW-10,0.00892223036334893,True,39,,0.0033712544837955216,0.034266,0.09838482705292483,1.2567369838596946e-05,0.00012928,0.09721047214261251,,,,,,
raw,Lagging Darcy,MW-10,0.0041389788009146625,True,17,tau_q:lower,0.003504431782066704,0.003396,1.0319292644483815,1.1358017641051941e-05,1.167e-05,0.9732662931492666,0.00010000000000697194,100.0,1.0000000000697194e-06,631.1601348883115,909.7,0.6938112948096202
raw,Darcy,MW-08,0.39438111678116733,True,11,,8.297663599574527e-05,7.2206e-05,1.1491653878589767,2.8178015847669623e-05,3.0047e-05,0.9377979780899798,,,,,,
raw,Lagging Darcy,MW-08,0.03891391721919218,True,26,S:upper,0.9999999997707036,0.00265,377.3584904795108,1.29537303518964e-05,1.544e-05,0.8389721730502849,9864.720543048512,7126.0,1.38432788984683,31732803.786765736,100000.0,317.3280378676574
raw,Darcy,MW-11,0.40869267287208666,True,6,,0.0001345554760771862,0.0011922,0.11286317402884265,2.1953594658159138e-05,1.9064e-05,1.1515733664582009,,,,,,
raw,Lagging Darcy,MW-11,0.0359430160180747,True,42,S:upper,0.9999999999999735,0.002192,456.2043795620317,7.734768661968417e-06,1e-05,0.7734768661968416,8988.570595284213,6677.0,1.3461989808722798,43574491.75871226,100000.0,435.74491758712264
raw,Darcy,MW-05,0.000583946173599166,True,10,,0.0027383443774198217,0.0029989,0.9131162684383679,4.745103201144341e-05,4.3503e-05,1.0907530977505784,,,,,,
raw,Lagging Darcy,MW-05,0.0002913833539845445,True,21,,0.0028573862931510195,0.0003485,8.199099836875234,4.3631523262119706e-05,0.0001016,0.4294441265956664,0.6143505811782564,100000.0,6.143505811782563e-06,501.72936352681563,8870.0,0.0565647534979499
raw,Darcy,MW-06,0.00035430171679015426,True,16,,0.002417301894851771,0.0049084,0.4924826613258436,5.236405838789543e-05,6.4808e-05,0.8079875692490963,,,,,,
raw,Lagging Darcy,MW-06,0.00030354118184495896,True,46,,0.0024572777787624104,0.00023,10.683816429401784,5.1173277644197603e-05,0.0001159,0.44152957415183436,0.00034117979432713466,100000.0,3.4117979432713468e-09,168.64374072175193,6451.0,0.026142263326887603
raw,Darcy,MW-07,0.0006440537008665754,True,6,,0.009964706131769098,0.011365,0.8767889249246896,4.074800329591998e-05,5.2991e-05,0.7689608291204162,,,,,,
raw,Lagging Darcy,MW-07,0.00028468686245593824,True,70,S:upper,1.0,0.004246,235.51577955723036,1.1065042633429427e-05,0.0001347,0.0821458250440195,29508.394361820607,39930.0,0.739003114495883,7020733.646561598,4966.0,1413.7602993478854
raw,Darcy,MW-03,0.0009637670863306559,True,6,,0.0024031068714819603,0.0019642,1.2234532488962224,4.764874166891445e-05,4.4135e-05,1.0796134965200963,,,,,,
raw,Lagging Darcy,MW-03,0.000613404598099321,True,22,,0.0005990072906825234,0.0005736,1.0442944398230884,0.00010137798995577191,0.0001024,0.9900194331618352,45519.611712672966,47160.0,0.9652165333476032,6861.352708337784,6891.0,0.9956976793408481
raw,Darcy,MW-04,0.0006268531642850898,True,12,,0.0024234770455177513,0.0026487,0.9149684922859332,4.415934626419906e-05,5.8595e-05,0.7536367653246704,,,,,,
raw,Lagging Darcy,MW-04,0.0005077043553482002,True,29,,0.0003432016465496283,0.0003022,1.1356771891119402,0.00010700185883246713,0.0001088,0.9834729672101757,82993.92901749152,93410.0,0.8884908362861741,6653.475176798389,6645.0,1.0012754216400885
raw,Darcy,MW-02,0.0005800448619239971,True,12,,0.0013014175747232686,0.00145,0.8975293618781163,4.4728163801226444e-05,3.0277e-05,1.47729840477017,,,,,,
