well,distance_m,n_points,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,bias_eta_darcy,bias_eta_lagging,sd_epsilon_darcy,sd_epsilon_lagging,variance_ratio_eta,rmse_improvement_ratio,delta_aic_lagging_minus_darcy,delta_bic_lagging_minus_darcy
MW-08,5.843416890268858,43,0.12436602114378448,0.14949118128883476,0.10308255623113646,0.1253840682589996,0.008738745917391287,0.013396418760243316,0.06613479181738952,0.08103901976472479,1.5015105114975142,0.8319288139378236,19.824722571337247,23.347122802724357
MW-10,9.271058098308242,47,0.12987873102735578,0.02105065213201653,0.10222776513534783,0.015466318806499872,0.007909798094220433,0.002959618911102205,0.3345697244406798,0.053902353714725446,0.02595626395486797,6.169819833268708,-167.0489458825385,-163.34865067911838
MW-11,12.357706052704295,39,0.11955364771298536,0.12486855847495355,0.09724101349760776,0.10169569527453083,0.011002623492743351,0.018134461228033156,0.08146889142068295,0.08349561975660236,1.0503735375050471,0.9574359564418751,7.392722818178527,10.7198461104378
MW-06,17.042475827018023,27,0.014359851836906589,0.004614133472588791,0.011164515518668804,0.0037296061681880988,-0.00397525970269212,-0.0076313378412268444,0.1343844968418857,0.05226759129541365,0.15127481616250996,3.1121448744849367,-57.30685657143593,-54.715182839427314
MW-05,17.354672008507535,28,0.024895445979277522,0.0035888123960707407,0.01913801767614327,0.0025372022833567006,-0.0014520704383645874,-0.007064195180508092,0.20550673612950338,0.03734822221960027,0.0330284159025979,6.936959426058223,-104.4643591062306,-101.7999500858802
MW-07,17.497459583829144,35,0.004806847670575069,0.006280191044822463,0.002613091812514514,0.00262175044143832,-0.004255706150854596,-0.0111960754788087,0.0673801738186623,0.06531351969795543,0.9395976511603241,0.7653983192976187,22.71512312889564,25.825819251874464
MW-12,17.74299900921008,44,0.03822520722530531,0.05190292331988764,0.03319209231280275,0.04385042506991738,0.008652697934430797,0.014729148937892766,0.056315655867423174,0.05270203247695128,0.8757828488458976,0.7364750341655335,30.91743486046994,34.48581412830646
MW-04,20.03325282529062,29,0.025381199892275896,0.006779454509660099,0.01867261783321358,0.004807584101563623,0.03895532921254338,-0.0015558097431452274,0.31117651329538826,0.08632860439951452,0.07696545119413165,3.743841020853525,-72.56650152942572,-69.83190986945277
MW-03,20.098278334302037,31,0.02178527578360478,0.006407296333772604,0.016733804441687282,0.0036847886926857053,0.009596031921729656,-0.004254327246371581,0.20632973255995965,0.049099575473436234,0.056628080888146526,3.4000730805559063,-71.87540939168045,-69.00743498271015
MW-02,26.68220604044817,32,0.021280502631617355,0.004569355566783641,0.015960128230620024,0.0030895735239428253,0.011175994861609192,0.0011121712852365506,0.19572543384429186,0.04692512303496351,0.057479940670450744,4.657221859973715,-94.45882259017611,-91.52735078457667
MW-01,28.53505435743645,35,0.011648336419256366,0.01308876101857595,0.008695358950373565,0.008208630351892171,-0.000288164467883054,-0.0012444571212125134,0.08546017992765507,0.05688840407786636,0.44311851343344333,0.8899495072699936,12.161338588889748,15.27203471186857
MW-13,36.57128860632061,30,0.025901910323511773,0.004781282826010593,0.016441690581527047,0.0032689471905887947,0.039838961032096595,0.007024616863500015,0.27472626033441455,0.048813757256236705,0.0315706937507906,5.41735581559893,-97.37647037060555,-94.57407560728123
